Feature,Importance
MonthlyIncome,59
DailyRate,49
MonthlyRate,39
Age,38
HourlyRate,35
JobRole,34
DistanceFromHome,28
RelationshipSatisfaction,27
EnvironmentSatisfaction,24
OverTime,24
WorkLifeBalance,23
JobInvolvement,22
YearsAtCompany,21
PercentSalaryHike,20
YearsWithCurrManager,20
StockOptionLevel,20
JobSatisfaction,19
BusinessTravel,15
TotalWorkingYears,14
Education,14
YearsSinceLastPromotion,10
TrainingTimesLastYear,10
YearsInCurrentRole,10
MaritalStatus,7
EducationField,6
Gender,5
JobLevel,4
Department,3
PerformanceRating,0
