Feature,Importance
DailyRate,130
HourlyRate,125
MonthlyIncome,121
Age,108
MonthlyRate,106
Income_Per_WorkingYear,89
Job_Hopping_Index,86
Organizational_Loyalty_Ratio,80
Income_Per_YearAtCompany,73
JobRole,71
YearsWithCurrManager,66
Income_Per_Level,66
Role_Stagnation_Index,65
DistanceFromHome,63
Total_Satisfaction_Score,58
StockOptionLevel,54
Career_Velocity_Index,45
PercentSalaryHike,44
Stagnation_Index,39
JobSat_WLB_Interaction,37
Burnout_Risk,36
JobInvolvement,34
Overwork_Fatigue_Index,34
EnvironmentSatisfaction,31
Education,30
OverTime_Binary,29
TrainingTimesLastYear,29
WorkLifeBalance,26
TotalWorkingYears,25
RelationshipSatisfaction,24
Cost_Effectiveness,23
BusinessTravel,22
MaritalStatus,20
YearsInCurrentRole,19
YearsAtCompany,18
JobSatisfaction,15
EducationField,14
Gender,13
NumCompaniesWorked,12
YearsSinceLastPromotion,8
JobLevel,6
Department,3
PerformanceRating,0
OverTime,0
