rank_test_score,mean_test_score,std_test_score,param_learning_rate,param_max_depth,param_num_leaves,param_reg_alpha,param_reg_lambda
1,0.6121173980481915,0.051211423307005954,0.2,5,31,1.0,1.0
2,0.6096421985454455,0.04286561642851821,0.2,7,31,0.0,1.0
3,0.6083723092484219,0.05082433386399879,0.2,7,15,1.0,1.0
4,0.6081540580744736,0.049919945657583106,0.2,7,15,0.1,1.0
5,0.604520090851803,0.06734642466114522,0.1,7,7,1.0,1.0
6,0.6041926730208623,0.06305211211639301,0.2,7,15,1.0,0.1
7,0.6039262691146648,0.051223245083251455,0.1,7,15,1.0,0.1
8,0.6034491761557128,0.051566297616090134,0.1,7,15,1.0,1.0
9,0.6027587917599916,0.05500149747231817,0.1,5,7,1.0,1.0
10,0.6019040880821263,0.061832422262815906,0.2,7,31,1.0,0.1
11,0.6006288900675425,0.05711386123183224,0.1,5,7,1.0,0.1
12,0.599753191939017,0.06988703516740193,0.1,3,15,1.0,1.0
12,0.599753191939017,0.06988703516740193,0.1,3,31,1.0,1.0
14,0.5993485009245565,0.07641279797675549,0.1,3,31,0.1,1.0
14,0.5993485009245565,0.07641279797675549,0.1,3,15,0.1,1.0
16,0.5985415541865098,0.04771707803533127,0.2,5,15,0.0,1.0
17,0.5983657176442808,0.062229155946285246,0.1,7,31,1.0,0.0
18,0.598228549052333,0.0733896029542195,0.1,3,7,1.0,1.0
19,0.5980778223643382,0.03741666675543453,0.2,7,31,0.1,0.1
20,0.5980658195813378,0.055085906870588106,0.2,5,31,0.1,1.0
21,0.5980636487697487,0.042860963452282325,0.1,7,15,0.1,0.0
22,0.5979397920664096,0.057972669449609195,0.1,3,7,0.0,1.0
23,0.5973164070412353,0.05634088037612592,0.05,7,15,1.0,1.0
24,0.5972081504745549,0.04569587417415883,0.1,7,31,1.0,1.0
25,0.5971199190793971,0.07432176013672376,0.1,3,31,1.0,0.0
25,0.5971199190793971,0.07432176013672376,0.1,3,15,1.0,0.0
27,0.5970944982584107,0.07466527466078819,0.2,3,15,1.0,1.0
27,0.5970944982584107,0.07466527466078819,0.2,3,31,1.0,1.0
29,0.5966271927276177,0.046623004202597344,0.1,3,15,0.1,0.1
29,0.5966271927276177,0.046623004202597344,0.1,3,31,0.1,0.1
31,0.5963793689801813,0.07192709825321401,0.1,3,7,0.1,1.0
32,0.5962971786240375,0.06227073748510011,0.1,3,7,0.1,0.1
33,0.5959216144889293,0.05151402965793525,0.2,7,15,1.0,0.0
34,0.5957477271443596,0.0609592734261057,0.05,3,31,1.0,0.1
34,0.5957477271443596,0.0609592734261057,0.05,3,15,1.0,0.1
36,0.5950516697824525,0.03950322285386351,0.2,7,15,0.1,0.0
37,0.5950207405912601,0.07158138406309718,0.2,7,31,1.0,1.0
38,0.594876524875857,0.05501658595980216,0.1,7,31,1.0,0.1
39,0.5948014988111827,0.05823707450129262,0.2,7,31,0.0,0.0
40,0.5946997478858281,0.05091760391626935,0.1,5,7,1.0,0.0
41,0.5945173432268634,0.07451717966394142,0.2,7,7,1.0,1.0
42,0.5944932649197767,0.07510011017192307,0.1,3,7,1.0,0.0
43,0.5943104174259461,0.06487561431395385,0.05,7,7,1.0,1.0
44,0.5940203059669305,0.06747246304968527,0.05,3,31,1.0,0.0
44,0.5940203059669305,0.06747246304968527,0.05,3,15,1.0,0.0
46,0.5936930317977225,0.07742306862028751,0.05,3,7,0.1,1.0
47,0.5936151969357241,0.040783612821246165,0.1,7,31,0.0,1.0
48,0.5932388831822161,0.06350295835034638,0.05,3,7,0.1,0.0
49,0.5930289719365269,0.060304879793793224,0.05,3,15,0.1,0.0
49,0.5930289719365269,0.060304879793793224,0.05,3,31,0.1,0.0
51,0.5929059687386962,0.057257959945548,0.2,5,7,1.0,0.1
52,0.5926357516486542,0.06770730710383205,0.05,3,7,1.0,0.1
53,0.592464809479109,0.061158541318493076,0.05,5,7,0.0,1.0
54,0.5923569136129533,0.06622629692446036,0.05,5,7,0.1,1.0
55,0.5922817918921369,0.06674575969394202,0.2,3,7,0.0,1.0
56,0.5922483095392748,0.07383715361472895,0.05,3,31,1.0,1.0
56,0.5922483095392748,0.07383715361472895,0.05,3,15,1.0,1.0
58,0.5921934920381808,0.06781514284090558,0.1,7,7,1.0,0.1
59,0.5921893089411908,0.044566701261628684,0.2,7,31,0.1,0.0
