number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.5709128546428012,2026-06-05 21:46:57.416400,2026-06-05 21:46:58.767033,0 days 00:00:01.350633,0.8470233229263944,0.04827774506673267,7,68,0.08318023971813193,0.3848325166456318,0.9022769857659125,COMPLETE
1,0.5697431142587918,2026-06-05 21:46:58.772565,2026-06-05 21:46:59.289263,0 days 00:00:00.516698,0.9356686159751834,0.03623335958632792,4,77,3.7326789208412405,1.1866797283262231,0.9209403923764845,COMPLETE
2,0.5474105708760217,2026-06-05 21:46:59.289334,2026-06-05 21:47:00.070817,0 days 00:00:00.781483,0.7612120982413322,0.014210311645831225,8,22,2.8314920072319665,3.0237749383401864,0.7612755029164784,COMPLETE
3,0.6073161933115976,2026-06-05 21:47:00.070923,2026-06-05 21:47:00.650346,0 days 00:00:00.579423,0.7504326683703935,0.1341288633872446,5,28,3.6530143121999314,3.6797243898865766,0.7291484292161998,COMPLETE
4,0.5861283165331882,2026-06-05 21:47:00.650400,2026-06-05 21:47:01.648321,0 days 00:00:00.997921,0.7658105030134968,0.07466121852866157,9,88,2.2399916589873703,3.9740971646976835,0.8730150429977075,COMPLETE
5,0.5619054018154616,2026-06-05 21:47:01.648432,2026-06-05 21:47:02.343313,0 days 00:00:00.694881,0.8486899948781045,0.03524647864504948,7,24,4.836341867925565,3.711980635874226,0.9779614137236496,COMPLETE
6,0.5762324028917452,2026-06-05 21:47:02.343366,2026-06-05 21:47:03.205764,0 days 00:00:00.862398,0.8906156115672772,0.04636236174596787,8,61,3.248922222831283,0.5550584963619681,0.8316490255965263,COMPLETE
7,0.5600698714037312,2026-06-05 21:47:03.205830,2026-06-05 21:47:04.189152,0 days 00:00:00.983322,0.8867460743591014,0.030843295269258247,9,70,2.0413374721714956,2.7082725143153894,0.9534507605046061,COMPLETE
8,0.5743011353632627,2026-06-05 21:47:04.189218,2026-06-05 21:47:04.853008,0 days 00:00:00.663790,0.786877875596994,0.04943056793186662,5,41,1.1285377790869566,1.3712702344841776,0.924818867008175,COMPLETE
9,0.5927513886706601,2026-06-05 21:47:04.853059,2026-06-05 21:47:05.656099,0 days 00:00:00.803040,0.8644156623602443,0.1304549437445147,9,55,2.8141564633844385,1.5826191086405466,0.9123362564530586,COMPLETE
10,0.6002015882922678,2026-06-05 21:47:05.656200,2026-06-05 21:47:06.092097,0 days 00:00:00.435897,0.7163862151113738,0.189145979960062,3,121,4.478957261576036,4.917415072982881,0.705629783887826,COMPLETE
11,0.6080580929319618,2026-06-05 21:47:06.092159,2026-06-05 21:47:06.502353,0 days 00:00:00.410194,0.7037475169741989,0.19620396865982923,3,121,4.70971398334803,4.730418276647445,0.7027550435323272,COMPLETE
12,0.6065689548244698,2026-06-05 21:47:06.502405,2026-06-05 21:47:06.913060,0 days 00:00:00.410655,0.7068404055345048,0.11704578508956937,3,123,4.042086914953292,4.9509672278163315,0.7089045088047344,COMPLETE
13,0.5170750746073309,2026-06-05 21:47:06.913161,2026-06-05 21:47:07.696507,0 days 00:00:00.783346,0.7999113972348315,0.005533411795280533,5,92,4.987041166672578,4.07051614414638,0.7857637765828986,COMPLETE
14,0.6063402980047714,2026-06-05 21:47:07.696581,2026-06-05 21:47:08.393727,0 days 00:00:00.697146,0.7343648762455696,0.1895187688626416,5,9,3.878891843643073,3.3614969314288365,0.7579695694568535,COMPLETE
15,0.5990570541866836,2026-06-05 21:47:08.393837,2026-06-05 21:47:09.620241,0 days 00:00:01.226404,0.97872122246607,0.08863010057245371,4,105,4.305183411776743,4.4876182602927335,0.8189967151639367,COMPLETE
16,0.5405388759381335,2026-06-05 21:47:09.620334,2026-06-05 21:47:10.172287,0 days 00:00:00.551953,0.8044775655690078,0.013319113360010338,4,43,3.427555265121493,2.162212463981584,0.7345479968851303,COMPLETE
17,0.5994339515443962,2026-06-05 21:47:10.172349,2026-06-05 21:47:11.056882,0 days 00:00:00.884533,0.738720522542098,0.12214611796867583,6,107,4.4371768360794475,4.447029257552453,0.7878765754657028,COMPLETE
18,0.6107028300663367,2026-06-05 21:47:11.056937,2026-06-05 21:47:11.637449,0 days 00:00:00.580512,0.7013982514957214,0.07587189729010163,3,48,1.3210702405736203,3.5305423268660574,0.7366138303810906,COMPLETE
19,0.602751616560022,2026-06-05 21:47:11.637567,2026-06-05 21:47:12.380155,0 days 00:00:00.742588,0.7072818882214903,0.07871161928744355,3,45,1.4963324112363159,2.513142944784449,0.8034241360348622,COMPLETE
20,0.5694438845429622,2026-06-05 21:47:12.380235,2026-06-05 21:47:12.790979,0 days 00:00:00.410744,0.8221149085736688,0.02008396910234516,3,82,0.7250570840851186,3.251859513218083,0.7502540753344987,COMPLETE
21,0.5870745542325048,2026-06-05 21:47:12.791030,2026-06-05 21:47:13.417535,0 days 00:00:00.626505,0.7467136473086635,0.19979571505543178,4,28,1.784981696270584,3.6774491069876385,0.7278230346604936,COMPLETE
22,0.6161908623048243,2026-06-05 21:47:13.417588,2026-06-05 21:47:14.241511,0 days 00:00:00.823923,0.7026837302044471,0.1440361223225717,6,34,2.610558458922789,4.453795611282732,0.7039751549461938,COMPLETE
23,0.5931229448110559,2026-06-05 21:47:14.241620,2026-06-05 21:47:15.406756,0 days 00:00:01.165136,0.704137449044553,0.09385577077747691,6,54,0.5015738772020923,4.427319144469463,0.7025321780044421,COMPLETE
24,0.5848872625308251,2026-06-05 21:47:15.406892,2026-06-05 21:47:16.238646,0 days 00:00:00.831754,0.7786641400370365,0.06586185582028863,4,36,1.2838533080600518,4.579893424483083,0.7731498178121956,COMPLETE
25,0.6212161771856706,2026-06-05 21:47:16.238707,2026-06-05 21:47:16.771098,0 days 00:00:00.532391,0.7295933829142865,0.14807459873204912,7,9,2.509873671594178,4.126152095515538,0.7417171246196945,COMPLETE
26,0.6232106201567943,2026-06-05 21:47:16.771150,2026-06-05 21:47:17.235481,0 days 00:00:00.464331,0.7333049027716507,0.13983977965838448,7,7,2.584175384146867,4.148300224826642,0.7371683278254396,COMPLETE
27,0.6184120929667294,2026-06-05 21:47:17.235534,2026-06-05 21:47:17.659759,0 days 00:00:00.424225,0.7324854345284326,0.1500511384633977,7,7,2.601284542944649,4.04366404055298,0.8522275647719579,COMPLETE
28,0.6219512643627083,2026-06-05 21:47:17.659821,2026-06-05 21:47:18.165896,0 days 00:00:00.506075,0.7295251261677937,0.10346502254054982,7,9,2.44751652642863,4.044009991176537,0.860931088680676,COMPLETE
29,0.5974304577161014,2026-06-05 21:47:18.165963,2026-06-05 21:47:18.809925,0 days 00:00:00.643962,0.8240174573882451,0.05473960381496137,7,16,2.999847463764584,2.956893888992375,0.8642448835327756,COMPLETE
30,0.606754352618892,2026-06-05 21:47:18.809988,2026-06-05 21:47:19.439064,0 days 00:00:00.629076,0.7661500575614933,0.10342827873206248,8,14,2.2410653867276555,2.064871932429841,0.8896472988205566,COMPLETE
31,0.6236589616065062,2026-06-05 21:47:19.439124,2026-06-05 21:47:19.951396,0 days 00:00:00.512272,0.7318391795545601,0.15357603065597958,7,9,2.500882252228825,4.121877798220284,0.8446177646084269,COMPLETE
32,0.603890372007277,2026-06-05 21:47:19.951448,2026-06-05 21:47:20.640139,0 days 00:00:00.688691,0.7283463497753889,0.15950265580061684,7,21,1.8919538045072521,4.139915379413766,0.8182189709846285,COMPLETE
33,0.6078990245706815,2026-06-05 21:47:20.640248,2026-06-05 21:47:21.417739,0 days 00:00:00.777491,0.7572553592628408,0.10004022084743679,8,16,2.389017874640824,4.190238037492596,0.8779460042082089,COMPLETE
34,0.6112538517748056,2026-06-05 21:47:21.417801,2026-06-05 21:47:21.953502,0 days 00:00:00.535701,0.7769963169946014,0.05996982134679557,7,7,3.076001581677765,3.0742402685322023,0.8408975161088305,COMPLETE
35,0.6131696467801084,2026-06-05 21:47:21.953556,2026-06-05 21:47:22.654846,0 days 00:00:00.701290,0.7285197348951755,0.1566642885175703,6,16,1.626684224169919,3.770595578742417,0.9358667226473552,COMPLETE
36,0.5952909094440606,2026-06-05 21:47:22.654907,2026-06-05 21:47:23.323742,0 days 00:00:00.668835,0.7508500247062166,0.1078754235320278,8,21,3.5100903632327896,0.005766691889038,0.9911531724612698,COMPLETE
37,0.5994201134267362,2026-06-05 21:47:23.323830,2026-06-05 21:47:24.174423,0 days 00:00:00.850593,0.9429495130789092,0.12536899793849618,7,31,2.1250849476713074,3.8232594257515213,0.8971254629471415,COMPLETE
38,0.5665840234602839,2026-06-05 21:47:24.174484,2026-06-05 21:47:24.953619,0 days 00:00:00.779135,0.7221052556356379,0.025112841832868722,7,26,2.8407999373278456,3.4194640272948513,0.796288327341667,COMPLETE
39,0.5375487977448284,2026-06-05 21:47:24.953680,2026-06-05 21:47:25.543528,0 days 00:00:00.589848,0.7912783010831134,0.00999656687363864,8,13,2.4837729918439826,4.207461293145002,0.8537674059587145,COMPLETE
40,0.6079758113980933,2026-06-05 21:47:25.543636,2026-06-05 21:47:26.168615,0 days 00:00:00.624979,0.7672057773149034,0.16465790119238158,6,21,3.2644099283453816,4.70941353936622,0.7697249475593703,COMPLETE
41,0.6062848842216728,2026-06-05 21:47:26.168834,2026-06-05 21:47:26.762725,0 days 00:00:00.593891,0.7410784991491073,0.14667312938801244,7,7,2.701297746406215,4.026574356768759,0.8485606304219984,COMPLETE
42,0.6141306946633233,2026-06-05 21:47:26.762777,2026-06-05 21:47:27.325450,0 days 00:00:00.562673,0.7274070089493542,0.08383810078806973,7,11,2.535754019982374,3.7927771638027514,0.882628343240278,COMPLETE
43,0.6209399033016899,2026-06-05 21:47:27.325545,2026-06-05 21:47:27.759878,0 days 00:00:00.434333,0.7435199212963983,0.13173539935404244,8,7,2.3201140500995026,4.3193682876756405,0.8292356175387985,COMPLETE
44,0.6101571025884609,2026-06-05 21:47:27.759937,2026-06-05 21:47:28.424749,0 days 00:00:00.664812,0.7560347498475035,0.11612022502347358,9,16,2.2354327482637064,4.9837945788771965,0.8246763322135808,COMPLETE
45,0.5864574286422991,2026-06-05 21:47:28.424801,2026-06-05 21:47:29.191428,0 days 00:00:00.766627,0.7194948058482584,0.043708539918369656,8,22,1.8980463215119743,4.241097291310422,0.8621948512501151,COMPLETE
46,0.589284693323585,2026-06-05 21:47:29.191480,2026-06-05 21:47:29.959440,0 days 00:00:00.767960,0.8655253992235439,0.13602924807413452,8,67,2.955472315032281,4.77635719466231,0.8090349533060707,COMPLETE
47,0.6152265881351497,2026-06-05 21:47:29.959495,2026-06-05 21:47:30.555325,0 days 00:00:00.595830,0.7693200162725955,0.17218544443209258,9,38,2.294281052959275,1.0286667187584564,0.8369589261254773,COMPLETE
48,0.6026570549843869,2026-06-05 21:47:30.555406,2026-06-05 21:47:31.309965,0 days 00:00:00.754559,0.8118956578153407,0.09651603283323221,8,31,1.9700008169528331,3.6102201121763375,0.9123909594501667,COMPLETE
49,0.6000422780656662,2026-06-05 21:47:31.310017,2026-06-05 21:47:31.890705,0 days 00:00:00.580688,0.7459947326897485,0.07125575519642816,6,12,3.1358211485850314,3.8936535343510896,0.7217488124468963,COMPLETE
