rank_test_score,mean_test_score,std_test_score,param_learning_rate,param_max_depth,param_num_leaves,param_subsample,param_colsample_bytree,param_reg_alpha,param_reg_lambda
1,0.6133232451408368,0.05815322626448283,0.2,7,7,0.7,0.7,0.0,5.0
2,0.6091482159552315,0.06924449678421525,0.1,-1,15,1.0,1.0,5.0,0.1
3,0.6059434489266293,0.07581697742647235,0.1,9,31,0.8,0.8,1.0,5.0
4,0.6028966589059463,0.04013545357741513,0.1,9,127,0.9,0.8,1.0,0.0
5,0.6001215550386461,0.053603392283538075,0.05,9,15,0.9,0.8,0.0,5.0
6,0.5978313796708348,0.06434233990884156,0.1,7,31,0.7,0.7,5.0,1.0
7,0.5959194740469365,0.052374373790139,0.2,7,31,0.7,0.7,5.0,0.01
8,0.5952140048285102,0.049303870190111725,0.05,5,127,1.0,0.8,0.01,0.1
9,0.5944770187090035,0.05922731933744639,0.05,3,63,1.0,0.7,0.0,0.1
10,0.594075344964908,0.0865856942665953,0.2,-1,15,0.9,0.9,5.0,1.0
11,0.5909896386519236,0.05578955365483253,0.1,5,127,0.8,0.7,0.01,1.0
12,0.5908435254794846,0.06418856720434093,0.05,3,7,0.7,0.8,1.0,0.1
13,0.5898624972632817,0.0399155462177945,0.2,5,31,0.8,0.9,1.0,1.0
14,0.5887373092495239,0.06959800117346429,0.2,7,63,0.9,0.7,5.0,1.0
15,0.5886208008728675,0.0607700698934077,0.05,9,7,1.0,0.9,0.1,0.1
16,0.5846808334427597,0.06024918528851802,0.05,5,7,0.8,1.0,0.01,0.0
17,0.583561375509405,0.04992776016349081,0.05,9,15,1.0,1.0,0.01,0.1
18,0.583419512003227,0.07019387582406209,0.05,7,63,0.7,0.7,5.0,5.0
19,0.5817496799682604,0.04843631668754561,0.05,-1,31,0.7,1.0,0.01,1.0
20,0.5815347645154455,0.06602844480454546,0.05,-1,31,0.8,0.8,1.0,0.1
21,0.5804551636350945,0.04957806466301673,0.05,5,31,0.7,0.9,0.1,0.0
22,0.5803630285581083,0.0768771373883489,0.2,7,63,0.8,0.8,5.0,5.0
23,0.5785090479577193,0.06136221460467964,0.05,5,7,0.8,1.0,0.0,0.0
24,0.575614177040754,0.05498951188143848,0.05,5,63,1.0,1.0,0.01,0.0
25,0.5716992801876404,0.052454877248109585,0.05,7,127,0.9,0.8,0.1,0.0
26,0.5683250975655143,0.0551854984489595,0.05,7,31,0.8,0.7,1.0,0.01
27,0.5634856937747366,0.05324405440321629,0.2,5,15,1.0,0.7,0.01,0.01
28,0.5579726764987456,0.04387638011053444,0.01,3,31,1.0,0.7,0.1,0.01
29,0.5572877386748062,0.04745167146292731,0.01,7,7,0.7,0.7,0.1,5.0
30,0.5525487017514416,0.0409082725479739,0.01,7,7,1.0,0.8,0.01,0.0
31,0.5524076828371727,0.04290928743717176,0.01,9,63,0.9,0.8,0.1,0.1
32,0.5480878872309678,0.03806280868650575,0.01,7,127,0.9,1.0,0.01,1.0
33,0.5477188961010174,0.04674396219086455,0.01,7,7,0.9,1.0,5.0,0.1
34,0.5454717434400264,0.018357126327646217,0.005,7,31,1.0,0.7,1.0,0.01
35,0.5426185539228583,0.028019232286645976,0.005,5,31,0.8,0.7,1.0,0.1
36,0.5409264281809208,0.028902531331512122,0.005,-1,127,0.8,0.7,0.01,1.0
37,0.5372788294070971,0.030561863753674107,0.005,5,63,0.7,0.7,1.0,0.0
38,0.5356514835019792,0.03976654698369312,0.005,-1,7,0.9,0.8,0.0,0.0
39,0.5345949936397073,0.052127168381826405,0.01,7,63,0.9,0.7,5.0,0.1
40,0.5332340403524631,0.04106419585404306,0.01,7,15,0.8,0.9,5.0,1.0
41,0.5290906333457529,0.053154603651946984,0.01,5,31,1.0,0.8,5.0,1.0
42,0.5284026194212139,0.059158390851976286,0.005,3,15,0.8,0.7,5.0,0.1
43,0.5278633103041442,0.04202977330585999,0.01,9,15,0.9,1.0,0.0,0.01
44,0.5269143686787142,0.054353520172475155,0.005,3,63,1.0,1.0,0.0,5.0
45,0.5141186513613325,0.04983086229164271,0.005,9,63,1.0,0.7,5.0,5.0
46,0.5109517627909661,0.040910547803839854,0.005,5,15,0.9,0.9,0.1,5.0
47,0.5095802712514182,0.038986404725841244,0.005,9,15,0.8,0.7,5.0,0.01
48,0.5042955187130443,0.031171692319974364,0.005,-1,127,0.7,0.9,5.0,0.0
49,0.49642039095039336,0.04277643664208129,0.005,5,15,0.9,1.0,0.1,5.0
50,0.4926660056646612,0.026617633313764568,0.005,9,15,0.7,1.0,5.0,0.1
