Feature,Importance
HourlyRate,45
JobRole,45
DailyRate,42
Age,41
Total_Satisfaction_Score,34
MonthlyIncome,33
StockOptionLevel,30
PercentSalaryHike,29
YearsWithCurrManager,29
MonthlyRate,28
Job_Hopping_Index,28
DistanceFromHome,25
Overwork_Fatigue_Index,24
Income_Per_Level,24
Stagnation_Index,22
JobSat_WLB_Interaction,21
Organizational_Loyalty_Ratio,20
JobInvolvement,18
Income_Per_YearAtCompany,18
Income_Per_WorkingYear,18
BusinessTravel,17
Role_Stagnation_Index,17
WorkLifeBalance,16
RelationshipSatisfaction,15
EnvironmentSatisfaction,15
Burnout_Risk,15
Career_Velocity_Index,13
Education,11
YearsAtCompany,11
OverTime_Binary,11
NumCompaniesWorked,11
TrainingTimesLastYear,10
TotalWorkingYears,10
YearsInCurrentRole,9
YearsSinceLastPromotion,9
JobLevel,8
JobSatisfaction,7
Cost_Effectiveness,7
Gender,6
EducationField,5
OverTime,2
MaritalStatus,1
PerformanceRating,0
Department,0
