Feature,Importance
JobRole,35
DailyRate,33
MonthlyIncome,33
HourlyRate,30
Age,29
JobSat_WLB_Interaction,23
Total_Satisfaction_Score,21
Income_Per_YearAtCompany,21
MonthlyRate,20
Income_Per_Level,20
Job_Hopping_Index,19
YearsWithCurrManager,19
Organizational_Loyalty_Ratio,18
StockOptionLevel,18
DistanceFromHome,18
BusinessTravel,17
Role_Stagnation_Index,17
JobInvolvement,16
Income_Per_WorkingYear,16
Overwork_Fatigue_Index,16
PercentSalaryHike,16
OverTime_Binary,12
EnvironmentSatisfaction,11
Stagnation_Index,11
Burnout_Risk,10
Education,10
Cost_Effectiveness,9
YearsSinceLastPromotion,9
NumCompaniesWorked,8
TrainingTimesLastYear,8
WorkLifeBalance,6
JobLevel,6
Career_Velocity_Index,6
RelationshipSatisfaction,6
TotalWorkingYears,6
YearsInCurrentRole,5
MaritalStatus,4
YearsAtCompany,4
Gender,4
JobSatisfaction,3
EducationField,3
Department,3
OverTime,1
PerformanceRating,0
