feature,importance
JobRole,31
OverTime,30
StockOptionLevel,23
NumCompaniesWorked,22
MonthlyIncome,22
Age,20
WorkLifeBalance,19
DistanceFromHome,19
EnvironmentSatisfaction,19
JobSatisfaction,18
DailyRate,17
YearsWithCurrManager,16
RelationshipSatisfaction,15
HourlyRate,15
YearsSinceLastPromotion,12
JobInvolvement,12
BusinessTravel,10
TotalWorkingYears,7
JobLevel,7
YearsAtCompany,6
EducationField,4
MonthlyRate,4
TrainingTimesLastYear,4
PercentSalaryHike,3
Department,2
Education,1
MaritalStatus,1
Gender,1
PerformanceRating,0
YearsInCurrentRole,0
