rank_test_score,mean_test_score,std_test_score,param_learning_rate,param_max_depth,param_num_leaves,param_reg_alpha,param_reg_lambda
1,0.5987019838934002,0.042436056105028146,0.2,3,31,1.0,0.1
1,0.5987019838934002,0.042436056105028146,0.2,3,15,1.0,0.1
3,0.5968794445942287,0.046860393339871645,0.1,7,7,1.0,1.0
4,0.5946175243949227,0.02547583968308031,0.1,7,15,1.0,0.1
5,0.5939211187385098,0.05714515876286118,0.1,5,7,1.0,1.0
6,0.5928888156554754,0.06698705425308693,0.05,7,7,1.0,0.1
7,0.5913334526248147,0.036611971322870814,0.05,3,7,1.0,0.0
8,0.5902059921558138,0.02860222015926413,0.1,3,7,0.0,1.0
9,0.5901112352128488,0.04390760319290308,0.1,3,7,1.0,0.1
10,0.5900698531638339,0.06387354175315155,0.05,7,7,0.1,0.0
11,0.5899868616031226,0.06278600397810648,0.1,5,7,0.1,1.0
12,0.5899649115162299,0.04457792958969976,0.05,3,7,0.1,0.1
13,0.5888545891471291,0.029328919333472727,0.1,3,7,0.1,1.0
14,0.5885031271154958,0.062100464525930106,0.05,7,15,0.1,0.0
15,0.5877735404851063,0.04424149184958923,0.05,3,31,1.0,0.1
15,0.5877735404851063,0.04424149184958923,0.05,3,15,1.0,0.1
17,0.5874571005730275,0.039338090857789554,0.05,3,15,0.0,1.0
17,0.5874571005730275,0.039338090857789554,0.05,3,31,0.0,1.0
19,0.5874471347702318,0.06453906204682676,0.05,5,7,1.0,1.0
20,0.5874249754502275,0.04707330505265599,0.2,7,15,1.0,0.1
21,0.587150321719262,0.04911679181772041,0.05,3,7,0.1,1.0
22,0.5869973344636588,0.05449400877254434,0.1,5,7,1.0,0.0
23,0.5869730053403431,0.060401864459074785,0.1,7,7,0.0,1.0
24,0.5869507371943185,0.06324655209752032,0.1,5,7,1.0,0.1
25,0.5869348058308536,0.06353931576244773,0.05,7,7,1.0,1.0
26,0.5863435262061413,0.05861888757488331,0.2,7,7,1.0,0.1
27,0.5862130370711363,0.0631432553495409,0.05,7,7,0.0,1.0
28,0.5859490930137878,0.04333436391372802,0.1,3,31,0.1,1.0
28,0.5859490930137878,0.04333436391372802,0.1,3,15,0.1,1.0
30,0.5856579676323914,0.04450605915153064,0.05,3,31,1.0,0.0
30,0.5856579676323914,0.04450605915153064,0.05,3,15,1.0,0.0
32,0.585283845297063,0.0638390931588308,0.05,5,7,1.0,0.1
33,0.584864109141594,0.046383983822698135,0.2,7,31,1.0,0.1
34,0.5847077798583884,0.06886733365111904,0.05,5,7,0.0,1.0
35,0.5846793247369855,0.05020731288265822,0.05,3,7,0.0,0.1
36,0.5846531205345608,0.04354769766819468,0.05,3,7,1.0,1.0
37,0.5846448635364057,0.06134923944647669,0.05,5,7,1.0,0.0
38,0.5844536215131357,0.05130586717708577,0.2,7,31,0.1,0.0
39,0.5844176456554683,0.06613873048199483,0.05,5,7,0.1,0.0
40,0.5842675207433913,0.024284964564592733,0.1,7,15,0.0,0.1
41,0.5840973883576408,0.044467978040835146,0.05,3,7,0.0,1.0
42,0.5839668840702934,0.05750198958806161,0.05,7,15,0.0,0.1
43,0.583240618060847,0.028888200383451454,0.1,3,31,0.1,0.0
43,0.583240618060847,0.028888200383451454,0.1,3,15,0.1,0.0
45,0.5828356762202888,0.05915873392185881,0.05,7,7,0.0,0.1
