number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.5277477535984287,2026-06-05 21:56:39.221181,2026-06-05 21:56:39.434682,0 days 00:00:00.213501,0.8263824894562105,0.011475289913955113,3,51,2.96313323556224,0.4851969061463157,0.8020374323502272,COMPLETE
1,0.5685825143146475,2026-06-05 21:56:39.434791,2026-06-05 21:56:39.724023,0 days 00:00:00.289232,0.7975398601515419,0.19702826918093705,4,70,2.384842073112707,3.184074611393336,0.9534613128743814,COMPLETE
2,0.524197167383934,2026-06-05 21:56:39.724130,2026-06-05 21:56:40.118484,0 days 00:00:00.394354,0.8259014262396192,0.00929824206028825,8,46,2.800827066247495,0.1907955713881565,0.960607352697272,COMPLETE
3,0.5688236757354891,2026-06-05 21:56:40.118633,2026-06-05 21:56:40.540546,0 days 00:00:00.421913,0.7388994941723567,0.05772498892858256,5,100,1.056356095034845,3.772793481352268,0.9758125823745027,COMPLETE
4,0.5361786731938002,2026-06-05 21:56:40.540633,2026-06-05 21:56:41.074187,0 days 00:00:00.533554,0.8594512712954127,0.021727734543086744,6,66,2.86715542604943,0.7642659708191507,0.7901783486506107,COMPLETE
5,0.5708238224744221,2026-06-05 21:56:41.074301,2026-06-05 21:56:41.394388,0 days 00:00:00.320087,0.993399460100902,0.15467725198006982,9,76,3.991113417741276,3.8593026074707746,0.8106273361054747,COMPLETE
6,0.4972699923657662,2026-06-05 21:56:41.394455,2026-06-05 21:56:41.764361,0 days 00:00:00.369906,0.9532419717950462,0.0075750647687598885,6,126,2.1338001766215378,1.5828437413292384,0.9931935844465525,COMPLETE
7,0.5372402779983907,2026-06-05 21:56:41.764494,2026-06-05 21:56:42.055450,0 days 00:00:00.290956,0.9316199600730423,0.019157208547998572,7,76,4.71151282556148,3.6039109981965556,0.8461881474969379,COMPLETE
8,0.5190734436018015,2026-06-05 21:56:42.055534,2026-06-05 21:56:42.450587,0 days 00:00:00.395053,0.9024061058032148,0.015157750414566804,5,86,1.9989072681030617,0.651679742235714,0.7275666340559834,COMPLETE
9,0.5402297137211276,2026-06-05 21:56:42.450657,2026-06-05 21:56:42.797089,0 days 00:00:00.346432,0.9016040826662403,0.03203026275301124,6,104,4.796727469468703,0.9251205146861508,0.939447124931024,COMPLETE
10,0.5795674400545714,2026-06-05 21:56:42.797149,2026-06-05 21:56:43.052658,0 days 00:00:00.255509,0.9868322265359938,0.1884389873307143,9,13,3.943444234060995,4.909859313067916,0.703552880893617,COMPLETE
11,0.5997304059907973,2026-06-05 21:56:43.052724,2026-06-05 21:56:43.266762,0 days 00:00:00.214038,0.9912357899955234,0.18537427957324884,9,7,3.6999157815459447,4.965436304144012,0.715495882070175,COMPLETE
12,0.5876406774325298,2026-06-05 21:56:43.266932,2026-06-05 21:56:43.498982,0 days 00:00:00.232050,0.9985085131484256,0.09633025356383018,9,8,3.777644542750438,4.440943861838144,0.7052587938013147,COMPLETE
13,0.5942944404214494,2026-06-05 21:56:43.499084,2026-06-05 21:56:43.722009,0 days 00:00:00.222925,0.9990895103042924,0.08289187412244485,8,7,3.8188453129966486,4.765693714294303,0.7487149012468018,COMPLETE
14,0.5588909101642069,2026-06-05 21:56:43.722062,2026-06-05 21:56:44.193801,0 days 00:00:00.471739,0.946040667078314,0.07574303086667616,8,33,0.1970334730626413,2.4269029956657833,0.7599170814469179,COMPLETE
15,0.5644371039741869,2026-06-05 21:56:44.193900,2026-06-05 21:56:44.629165,0 days 00:00:00.435265,0.8825478352506378,0.04160384493370235,8,26,3.3954482834807247,4.854424805114665,0.8891021410320186,COMPLETE
16,0.575336067878276,2026-06-05 21:56:44.629225,2026-06-05 21:56:44.984498,0 days 00:00:00.355273,0.7121184973812216,0.11277173080208881,7,24,4.321882825111116,2.7780669963284605,0.7563133563606148,COMPLETE
17,0.5790895839630871,2026-06-05 21:56:44.984574,2026-06-05 21:56:45.356633,0 days 00:00:00.372059,0.9561107521086699,0.11938829914445091,7,44,3.345793458469492,4.268463035637509,0.7525944613112969,COMPLETE
18,0.5721095803097594,2026-06-05 21:56:45.356695,2026-06-05 21:56:45.646962,0 days 00:00:00.290267,0.9238678730223934,0.06334643426136459,8,17,1.654132637947738,2.058044270164941,0.8531270525556205,COMPLETE
19,0.5739549639988393,2026-06-05 21:56:45.647014,2026-06-05 21:56:45.863446,0 days 00:00:00.216432,0.9695847874680334,0.04603206251768124,9,7,3.433149645088284,4.343028080365758,0.7309196552208617,COMPLETE
20,0.5006835282417641,2026-06-05 21:56:45.863553,2026-06-05 21:56:46.096900,0 days 00:00:00.233347,0.7516911692886012,0.005182807697741306,7,33,4.374058772385229,3.2618908146113568,0.7797549411890135,COMPLETE
21,0.5871589944388435,2026-06-05 21:56:46.096953,2026-06-05 21:56:46.371406,0 days 00:00:00.274453,0.9940022982859238,0.09090464229626438,9,8,3.6989376593279504,4.468394988823399,0.7070815659187248,COMPLETE
22,0.5734596509080949,2026-06-05 21:56:46.371466,2026-06-05 21:56:46.743084,0 days 00:00:00.371618,0.9964169626913649,0.130168722163061,9,19,4.992407827308462,4.905330105655984,0.7003339269717374,COMPLETE
23,0.5778686986255752,2026-06-05 21:56:46.743142,2026-06-05 21:56:47.164966,0 days 00:00:00.421824,0.9671127282816352,0.08758891777500681,8,35,3.857345140296946,4.188206232733435,0.727253014630567,COMPLETE
24,0.5838542756697275,2026-06-05 21:56:47.165063,2026-06-05 21:56:47.608654,0 days 00:00:00.443591,0.9291460637008458,0.14914128000145166,9,57,4.32743009721376,4.522063999704534,0.7413309728148982,COMPLETE
25,0.5772531407818154,2026-06-05 21:56:47.608714,2026-06-05 21:56:48.217085,0 days 00:00:00.608371,0.9758633529184293,0.08807764612258526,8,24,3.141511867181581,4.9549075026119755,0.8266474141912364,COMPLETE
26,0.583331027344121,2026-06-05 21:56:48.217204,2026-06-05 21:56:48.538606,0 days 00:00:00.321402,0.9021027720709192,0.05438307849196889,9,13,3.605118795323693,4.065006075870254,0.7779232699022309,COMPLETE
