rank_test_score,mean_test_score,std_test_score,param_learning_rate,param_max_depth,param_num_leaves,param_subsample,param_colsample_bytree,param_reg_alpha,param_reg_lambda
1,0.6018317133429558,0.04567419330285113,0.2,-1,15,0.9,0.9,5.0,1.0
2,0.5997942536941747,0.060310541911288124,0.1,-1,15,1.0,1.0,5.0,0.1
3,0.5944094514144237,0.03145850353104203,0.2,7,7,0.7,0.7,0.0,5.0
4,0.5906166667093946,0.04622088739043345,0.2,7,31,0.7,0.7,5.0,0.01
5,0.5895426549440399,0.04372069861960918,0.2,7,63,0.9,0.7,5.0,1.0
6,0.588079219565032,0.03322096239952858,0.1,7,31,0.7,0.7,5.0,1.0
7,0.587565478045825,0.04749630588755318,0.05,3,7,0.7,0.8,1.0,0.1
8,0.585937797950896,0.057996065525336135,0.05,3,63,1.0,0.7,0.0,0.1
9,0.5841200316006979,0.03036070283291874,0.2,7,63,0.8,0.8,5.0,5.0
10,0.5837088897443024,0.0589531019720074,0.1,9,31,0.8,0.8,1.0,5.0
11,0.5795899703709371,0.06073015754475689,0.05,5,7,0.8,1.0,0.0,0.0
12,0.5793928585031145,0.05322382375714198,0.05,9,7,1.0,0.9,0.1,0.1
13,0.5785704974349721,0.05727536972177062,0.1,9,127,0.9,0.8,1.0,0.0
14,0.5766976417515846,0.0405723924580555,0.05,9,15,0.9,0.8,0.0,5.0
15,0.5760048057703314,0.053094446026260185,0.05,9,15,1.0,1.0,0.01,0.1
16,0.5751451329554927,0.056664958652500735,0.05,5,7,0.8,1.0,0.01,0.0
17,0.5723541870431714,0.051974491823004385,0.05,7,63,0.7,0.7,5.0,5.0
18,0.5714708993869931,0.04340421715546311,0.05,-1,31,0.8,0.8,1.0,0.1
19,0.5662738641608136,0.043082217883909306,0.05,7,31,0.8,0.7,1.0,0.01
20,0.5657402583575019,0.05606216535621375,0.05,-1,31,0.7,1.0,0.01,1.0
21,0.5649523434230583,0.04854883803979126,0.1,5,127,0.8,0.7,0.01,1.0
22,0.5641723687833029,0.018505431381798366,0.2,5,15,1.0,0.7,0.01,0.01
23,0.5593065518771928,0.05878596255153443,0.05,5,63,1.0,1.0,0.01,0.0
24,0.5566730359250665,0.06325611556707594,0.05,5,127,1.0,0.8,0.01,0.1
25,0.5556632427154293,0.05812133610695058,0.05,5,31,0.7,0.9,0.1,0.0
26,0.5532134522310617,0.05209893985844789,0.2,5,31,0.8,0.9,1.0,1.0
27,0.5485496916792101,0.039292528139172285,0.05,7,127,0.9,0.8,0.1,0.0
28,0.5475387499574275,0.06848781214398046,0.01,3,31,1.0,0.7,0.1,0.01
29,0.5327992327511331,0.06638573632071745,0.01,7,7,1.0,0.8,0.01,0.0
30,0.5277360396114307,0.06885045740224005,0.01,7,7,0.7,0.7,0.1,5.0
31,0.5253216817815154,0.06637880993703044,0.005,9,15,0.8,0.7,5.0,0.01
32,0.5202339276672858,0.06457069722876178,0.01,7,63,0.9,0.7,5.0,0.1
33,0.5168004051301882,0.060102403807447434,0.005,-1,7,0.9,0.8,0.0,0.0
34,0.5163722441488264,0.06983449015479948,0.01,7,7,0.9,1.0,5.0,0.1
35,0.5146928318913626,0.0598837644752613,0.005,-1,127,0.8,0.7,0.01,1.0
36,0.5138656415909651,0.057331066815083605,0.005,5,31,0.8,0.7,1.0,0.1
37,0.5135783418781961,0.06991938607939845,0.005,3,15,0.8,0.7,5.0,0.1
38,0.5118987273585918,0.055768327056227585,0.005,7,31,1.0,0.7,1.0,0.01
39,0.510725041932577,0.0638170093658625,0.01,5,31,1.0,0.8,5.0,1.0
40,0.5097105395841294,0.06323174562778067,0.01,7,15,0.8,0.9,5.0,1.0
41,0.5080723269111255,0.05251836221935994,0.01,9,15,0.9,1.0,0.0,0.01
42,0.5058906136915001,0.04393786545884639,0.01,9,63,0.9,0.8,0.1,0.1
43,0.5046817707755002,0.05967471628653536,0.005,5,63,0.7,0.7,1.0,0.0
44,0.501846563347311,0.06611172847699293,0.005,9,63,1.0,0.7,5.0,5.0
45,0.49692105518996277,0.07509183365679158,0.005,3,63,1.0,1.0,0.0,5.0
46,0.49639703102232974,0.08042893868789945,0.005,5,15,0.9,0.9,0.1,5.0
47,0.49244604268009906,0.051866067795360335,0.005,-1,127,0.7,0.9,5.0,0.0
48,0.4908430095321713,0.06579971941567173,0.005,9,15,0.7,1.0,5.0,0.1
49,0.48854577636355156,0.07558904366268385,0.005,5,15,0.9,1.0,0.1,5.0
50,0.48577515841297014,0.051676038997093665,0.01,7,127,0.9,1.0,0.01,1.0
