Feature,Importance
MonthlyIncome,49
HourlyRate,42
DailyRate,39
MonthlyRate,37
JobRole,36
Age,35
YearsWithCurrManager,31
DistanceFromHome,30
PercentSalaryHike,30
WorkLifeBalance,27
StockOptionLevel,25
OverTime,24
RelationshipSatisfaction,22
JobSatisfaction,21
Education,19
YearsAtCompany,18
JobInvolvement,17
EnvironmentSatisfaction,16
TotalWorkingYears,16
YearsSinceLastPromotion,13
BusinessTravel,13
YearsInCurrentRole,10
TrainingTimesLastYear,10
JobLevel,8
Gender,6
EducationField,4
Department,1
MaritalStatus,1
PerformanceRating,0
