Feature,Importance
MonthlyIncome,40
JobRole,35
DailyRate,30
Age,30
Total_Satisfaction_Score,26
HourlyRate,25
Job_Hopping_Index,24
MonthlyRate,23
StockOptionLevel,22
YearsWithCurrManager,21
BusinessTravel,19
JobInvolvement,19
Income_Per_YearAtCompany,18
OverTime_Binary,18
RelationshipSatisfaction,17
JobSat_WLB_Interaction,17
DistanceFromHome,17
Income_Per_Level,16
Overwork_Fatigue_Index,15
PercentSalaryHike,14
EnvironmentSatisfaction,13
Burnout_Risk,11
Cost_Effectiveness,10
Income_Per_WorkingYear,10
Organizational_Loyalty_Ratio,10
Role_Stagnation_Index,10
Stagnation_Index,9
NumCompaniesWorked,9
YearsSinceLastPromotion,8
TotalWorkingYears,8
YearsInCurrentRole,7
Education,6
Gender,6
JobLevel,6
WorkLifeBalance,6
TrainingTimesLastYear,5
Career_Velocity_Index,5
YearsAtCompany,5
JobSatisfaction,4
EducationField,2
MaritalStatus,2
Department,2
PerformanceRating,0
OverTime,0
