rank_test_score,mean_test_score,std_test_score,param_learning_rate,param_max_depth,param_num_leaves,param_reg_alpha,param_reg_lambda
1,0.6142973705955777,0.011039817104380355,0.1,5,7,1.0,1.0
2,0.612085000171173,0.012225556632404837,0.1,7,7,1.0,1.0
3,0.6057036467508167,0.018933267923421586,0.1,7,7,1.0,0.1
4,0.6031602127232704,0.021340617831650848,0.2,7,7,1.0,1.0
5,0.6028316789084012,0.017604465628269197,0.2,5,7,1.0,1.0
6,0.6028095776390122,0.025064698126857375,0.2,7,7,0.1,0.0
7,0.6018812388728597,0.01249535961915586,0.05,7,7,1.0,1.0
8,0.6013722281217043,0.013035738270627782,0.1,5,7,1.0,0.1
9,0.6011028529161022,0.013981827441355914,0.1,7,7,1.0,0.0
10,0.5997803518408356,0.020287818061452308,0.2,5,7,1.0,0.1
11,0.5994957861501337,0.010636549592885652,0.2,7,15,1.0,0.0
12,0.5990422327997654,0.013311749837669523,0.2,7,15,0.1,0.0
13,0.5976315012593116,0.023345474423216068,0.1,7,7,0.1,1.0
14,0.596547783041659,0.009215876605275314,0.2,7,15,1.0,0.1
15,0.596019990325475,0.02480497758064981,0.2,5,7,1.0,0.0
16,0.5957643031894934,0.011225700480731172,0.05,5,7,1.0,1.0
17,0.5954145880110854,0.016232139645793814,0.1,7,15,0.1,1.0
18,0.5952039176191021,0.021979310760303534,0.2,7,7,1.0,0.1
19,0.5947092576423053,0.014722839565912643,0.1,5,7,1.0,0.0
20,0.5923767137107473,0.020458250780530235,0.1,7,7,0.0,1.0
21,0.5917435844001053,0.012124089110269007,0.05,7,7,0.0,1.0
22,0.5904749823801282,0.004808355726595729,0.2,7,15,0.0,0.0
23,0.5904463899880769,0.015109268695380578,0.2,5,31,0.1,0.1
24,0.5903070086727725,0.007223349531155262,0.2,3,15,1.0,0.0
24,0.5903070086727725,0.007223349531155262,0.2,3,31,1.0,0.0
26,0.5901178159583857,0.011742399430030246,0.1,5,7,0.0,1.0
27,0.5900867868179752,0.02180444917964165,0.2,5,15,1.0,1.0
28,0.5899218359288722,0.02145495129285723,0.2,7,31,1.0,1.0
29,0.5897130522225692,0.011237625529312878,0.1,3,7,1.0,1.0
30,0.5896746684335773,0.015492096964793785,0.05,7,7,0.1,0.0
31,0.5893827587883386,0.009846960852784907,0.1,5,15,1.0,1.0
32,0.5893680170150505,0.005062153890802138,0.2,7,15,0.0,0.1
33,0.5891707548142722,0.02101218198385186,0.2,5,15,1.0,0.1
34,0.5883219614142217,0.0132868241343641,0.05,7,7,1.0,0.0
35,0.5881309628361112,0.017333556227009387,0.1,3,31,1.0,0.1
35,0.5881309628361112,0.017333556227009387,0.1,3,15,1.0,0.1
37,0.588082733210658,0.016711784811525625,0.1,7,7,0.1,0.0
38,0.5874207132956538,0.00567391567446878,0.2,7,7,0.0,1.0
39,0.5869205994055866,0.014204217098106993,0.05,7,7,0.1,1.0
40,0.586739540352668,0.006607868133717018,0.2,7,15,1.0,1.0
41,0.5862617102833233,0.018889220387418013,0.2,5,7,0.0,1.0
42,0.5862322688301299,0.009794300034530669,0.05,5,7,0.0,1.0
43,0.5861929815215458,0.005572756602592438,0.1,7,15,1.0,0.0
44,0.585921103600544,0.01782431590099988,0.05,7,7,1.0,0.1
45,0.5858963628119979,0.008650250462458533,0.1,5,7,0.1,1.0
46,0.5858820707575925,0.031428761603572164,0.2,7,7,0.0,0.1
47,0.5855735832073371,0.011675397995021305,0.1,3,15,1.0,1.0
47,0.5855735832073371,0.011675397995021305,0.1,3,31,1.0,1.0
49,0.5855096834451762,0.023008054542499098,0.05,5,7,0.0,0.0
50,0.5854474004314089,0.0020059386133303835,0.2,7,31,0.1,0.0
51,0.5854175169572439,0.01093427963098201,0.05,5,7,0.1,1.0
52,0.5853928678462723,0.013946269760389868,0.2,5,15,0.1,0.1
53,0.5849529027626493,0.010310149986340039,0.05,5,7,1.0,0.0
54,0.5849455903989242,0.022449440535862085,0.1,3,7,1.0,0.0
55,0.5848240110116517,0.01797642038061748,0.1,5,7,0.0,0.1
56,0.5846002824309106,0.017659984620911062,0.05,7,7,0.1,0.1
57,0.5843474847689848,0.014277519626409376,0.1,5,7,0.1,0.0
58,0.5843148811928888,0.019198186049640603,0.2,3,7,1.0,0.0
59,0.5842035216399009,0.019457513030481936,0.2,7,31,0.1,0.1
60,0.5838779942258953,0.004525212633555599,0.2,5,15,0.1,0.0
61,0.5837791161240136,0.023880541494500106,0.1,7,31,0.1,0.1
62,0.583745846595318,0.017921195073750236,0.1,7,31,0.0,0.1
63,0.5837275276879518,0.0052834839525712635,0.1,7,15,1.0,1.0
64,0.5832556760617631,0.02175059311222361,0.2,7,31,0.1,1.0
65,0.5830649640823159,0.011017703022055458,0.2,7,31,0.0,0.1
66,0.5830033011362391,0.007768311873693555,0.05,5,7,0.1,0.0
67,0.5829419762070461,0.01731939981762631,0.2,7,15,0.1,0.1
68,0.5829377619864039,0.014197578904058063,0.1,5,15,1.0,0.0
69,0.5829049955549093,0.02976154553504007,0.1,5,7,0.0,0.0
70,0.5826364761866752,0.017578783045057587,0.05,5,7,0.1,0.1
71,0.582624439725557,0.010643245716685238,0.1,7,31,0.0,1.0
72,0.582412475093959,0.01422418632618396,0.2,3,31,1.0,0.1
72,0.582412475093959,0.01422418632618396,0.2,3,15,1.0,0.1
74,0.5823565518494295,0.009478667570289463,0.1,7,31,0.1,1.0
75,0.5820968037088952,0.04452746098796776,0.2,5,7,0.1,0.1
76,0.5820590531449378,0.014960026491023615,0.05,5,7,1.0,0.1
77,0.5820019304329199,0.023847049750177863,0.1,7,31,0.1,0.0
78,0.5819557920798002,0.019442939823188,0.2,7,31,0.0,1.0
79,0.5817841675556906,0.007966844630794336,0.2,5,7,0.1,1.0
80,0.5817588984017686,0.02080297105330936,0.2,7,7,1.0,0.0
81,0.581717450370474,0.011947138664786229,0.2,3,15,1.0,1.0
81,0.581717450370474,0.011947138664786229,0.2,3,31,1.0,1.0
83,0.5815027022069367,0.013121431159714335,0.2,3,7,1.0,0.1
84,0.5813539365407645,0.011468062537656887,0.1,7,15,0.1,0.0
85,0.5812008798738496,0.014665158742358714,0.2,3,15,0.1,1.0
85,0.5812008798738496,0.014665158742358714,0.2,3,31,0.1,1.0
87,0.5810375987392811,0.014439300691441276,0.2,5,31,0.0,1.0
88,0.5808493994571275,0.021462185824362573,0.2,7,31,0.0,0.0
89,0.5808304460793035,0.00795352524472361,0.2,5,15,0.1,1.0
90,0.5807565386958471,0.021470568965910004,0.2,7,15,0.0,1.0
91,0.5807099544407145,0.010838357604929062,0.1,5,15,1.0,0.1
92,0.5806684423643308,0.0039293113501442465,0.05,7,15,1.0,1.0
93,0.5803476263928721,0.017031687574271554,0.05,7,7,0.0,0.0
94,0.580251137284363,0.012184690315731599,0.2,5,31,0.1,0.0
95,0.5795591989818262,0.017789649481303873,0.1,7,15,0.0,1.0
96,0.5795050543391055,0.01683375900472881,0.1,7,7,0.1,0.1
97,0.5793768080048187,0.013196104883240163,0.05,5,7,0.0,0.1
98,0.5789994439268052,0.024705210902637203,0.1,3,31,0.1,0.0
98,0.5789994439268052,0.024705210902637203,0.1,3,15,0.1,0.0
100,0.5789252163793103,0.0037571613039573373,0.1,7,31,1.0,0.1
101,0.5787423310737242,0.02526350912144348,0.1,3,31,0.0,1.0
101,0.5787423310737242,0.02526350912144348,0.1,3,15,0.0,1.0
103,0.5786956570764805,0.011265407419023904,0.1,7,15,0.1,0.1
104,0.5786771916248978,0.013662966278135893,0.05,3,7,1.0,1.0
105,0.5786185066613757,0.010851745041864484,0.05,3,7,1.0,0.1
106,0.5784925546706329,0.0028668886106455412,0.2,5,31,0.1,1.0
107,0.57826615786465,0.011980052340249445,0.2,7,7,0.1,1.0
108,0.5781592043506772,0.0035137261918090443,0.1,7,31,1.0,1.0
109,0.5781230018257685,0.0130172786656603,0.1,7,7,0.0,0.1
110,0.5781067102537677,0.004442222709890039,0.1,5,15,0.1,1.0
111,0.5780927525449894,0.017281921207061193,0.05,7,15,0.0,1.0
112,0.5780895302118121,0.016296239537463376,0.05,7,15,0.1,0.1
113,0.5780810278461058,0.021365738177311012,0.1,7,15,1.0,0.1
114,0.5779002322383583,0.006812591834051118,0.05,7,15,0.1,1.0
115,0.5776423429462224,0.01342382669753159,0.05,3,7,0.1,0.0
116,0.5775955291782344,0.006812178310825772,0.1,5,31,0.1,1.0
117,0.5771491321211323,0.0005864996851855505,0.2,7,15,0.1,1.0
118,0.5770832130149616,0.026070806207891487,0.2,5,31,1.0,0.0
119,0.5767823084939214,0.005461824291923881,0.1,3,7,1.0,0.1
120,0.5766682671404663,0.011285524314575137,0.1,3,7,0.1,1.0
121,0.5766470181226097,0.025659368890530207,0.1,3,31,0.1,0.1
121,0.5766470181226097,0.025659368890530207,0.1,3,15,0.1,0.1
123,0.5766229046352443,0.024596473050395962,0.1,7,7,0.0,0.0
124,0.5764810678809488,0.005917603964731155,0.2,3,15,0.0,1.0
124,0.5764810678809488,0.005917603964731155,0.2,3,31,0.0,1.0
126,0.5764087074547858,0.01711757382329914,0.05,3,31,0.1,1.0
126,0.5764087074547858,0.01711757382329914,0.05,3,15,0.1,1.0
128,0.5762016801519474,0.011275948791869411,0.1,5,15,0.0,1.0
129,0.5761916618485249,0.021542021077419014,0.2,7,7,0.0,0.0
130,0.5759551177638484,0.018149358417464057,0.2,5,31,0.0,0.1
131,0.5758806593667738,0.016494838271851428,0.05,3,7,0.1,1.0
132,0.575876702346267,0.01641216192378017,0.2,5,7,0.0,0.1
133,0.5755571598006898,0.019512766329438238,0.05,3,31,0.0,1.0
133,0.5755571598006898,0.019512766329438238,0.05,3,15,0.0,1.0
135,0.5754759756772041,0.007930488302487314,0.2,5,31,1.0,1.0
136,0.5754056991346893,0.017900734223177645,0.2,5,31,1.0,0.1
137,0.5753730418080442,0.0017775911868205105,0.1,5,31,0.0,1.0
138,0.5751715885576004,0.020676377789066912,0.05,3,15,0.0,0.1
138,0.5751715885576004,0.020676377789066912,0.05,3,31,0.0,0.1
140,0.57505309168755,0.012559951425047403,0.1,5,31,1.0,0.0
141,0.5750451265450041,0.02087510048892317,0.05,3,15,0.1,0.1
141,0.5750451265450041,0.02087510048892317,0.05,3,31,0.1,0.1
143,0.5749490722011193,0.014001793835064768,0.1,5,15,0.0,0.0
144,0.574901602453978,0.02081769742297666,0.05,3,7,0.0,0.1
145,0.574598098656249,0.014413235690949525,0.1,5,31,1.0,1.0
146,0.574513119944945,0.016448200781974825,0.1,7,31,1.0,0.0
147,0.5745050476513744,0.017588573090011852,0.2,3,7,1.0,1.0
148,0.5744918366620045,0.009607285737151094,0.2,3,7,0.0,1.0
149,0.5744446409085375,0.007969709556558074,0.05,3,7,1.0,0.0
150,0.5740989394758306,0.017580137042970657,0.05,3,7,0.0,1.0
151,0.5740637910585545,0.007747139923372295,0.05,3,31,1.0,1.0
151,0.5740637910585545,0.007747139923372295,0.05,3,15,1.0,1.0
153,0.5740428703853367,0.010126580346540735,0.1,3,31,0.1,1.0
153,0.5740428703853367,0.010126580346540735,0.1,3,15,0.1,1.0
155,0.5736548840568746,0.008354574673779874,0.1,5,31,1.0,0.1
156,0.573499513032283,0.022735678660563526,0.05,3,15,0.0,0.0
156,0.573499513032283,0.022735678660563526,0.05,3,31,0.0,0.0
158,0.5734633844493443,0.014143047610429477,0.2,7,7,0.1,0.1
159,0.573335960065143,0.009779196543495981,0.1,7,15,0.0,0.1
160,0.5728949969804858,0.021985443279459598,0.1,5,15,0.0,0.1
161,0.5728230895675042,0.025362824108068782,0.1,5,7,0.1,0.1
162,0.5727632641179565,0.019055137013496766,0.1,5,31,0.1,0.0
163,0.5725421135208747,0.026112096048321622,0.2,3,15,0.1,0.0
163,0.5725421135208747,0.026112096048321622,0.2,3,31,0.1,0.0
165,0.5725303186428919,0.017207626162503473,0.2,5,15,1.0,0.0
166,0.572448813377444,0.0030536360895620706,0.05,7,15,1.0,0.0
167,0.5722888997551339,0.0216374939277319,0.05,3,15,0.1,0.0
167,0.5722888997551339,0.0216374939277319,0.05,3,31,0.1,0.0
169,0.5721737514039553,0.014005337541759042,0.1,7,31,0.0,0.0
170,0.572127067098533,0.01706093931803404,0.2,5,7,0.1,0.0
171,0.5718965334817857,0.015707015023997847,0.05,3,15,1.0,0.1
171,0.5718965334817857,0.015707015023997847,0.05,3,31,1.0,0.1
173,0.5716169419418907,0.0034615956021736495,0.05,5,15,1.0,0.1
174,0.571610813572169,0.004276093644968931,0.2,5,15,0.0,1.0
175,0.5715064805099163,0.007504064927613961,0.05,3,31,1.0,0.0
175,0.5715064805099163,0.007504064927613961,0.05,3,15,1.0,0.0
177,0.5714822711773859,0.023008006858905843,0.2,3,15,0.0,0.0
177,0.5714822711773859,0.023008006858905843,0.2,3,31,0.0,0.0
179,0.5714172881917424,0.01893334667779469,0.1,3,31,0.0,0.1
179,0.5714172881917424,0.01893334667779469,0.1,3,15,0.0,0.1
181,0.5713923257368436,0.0165737748737898,0.1,3,15,1.0,0.0
181,0.5713923257368436,0.0165737748737898,0.1,3,31,1.0,0.0
183,0.570942434958419,0.005778535897008115,0.05,7,15,1.0,0.1
184,0.5706983858295575,0.01054164054820872,0.2,3,7,0.1,1.0
185,0.5706207875769805,0.014433775952266923,0.05,7,7,0.0,0.1
186,0.5705264550589352,0.008139748881669238,0.05,7,31,0.0,1.0
187,0.5698992716168214,0.015136061462763594,0.05,3,7,0.1,0.1
188,0.5698452643290809,0.01560812788785564,0.1,3,7,0.1,0.0
189,0.569354480181866,0.015479712331819105,0.05,7,31,0.0,0.1
190,0.5682700934541669,0.02368158492273433,0.2,5,15,0.0,0.1
191,0.5682644689119691,0.024288180466300772,0.1,5,15,0.1,0.0
192,0.5677126416711832,0.023324979834878266,0.2,5,15,0.0,0.0
193,0.5676131143703446,0.00840298870169576,0.1,3,7,0.0,1.0
194,0.5674366110062657,0.03157774602844185,0.1,3,7,0.0,0.1
195,0.5674137603749654,0.010983565692019064,0.05,3,7,0.0,0.0
196,0.5671686446706291,0.018819080061585985,0.1,3,7,0.1,0.1
197,0.5669325950480216,0.004984213537123142,0.2,7,31,1.0,0.1
198,0.5668406204206698,0.01136274190380137,0.1,7,15,0.0,0.0
199,0.5661836944557829,0.019211602725900646,0.05,7,15,0.1,0.0
200,0.566081189270676,0.014749950277416513,0.05,5,15,1.0,1.0
201,0.5657207936294538,0.03298949176789854,0.2,3,7,0.0,0.0
202,0.5656192594486945,0.007571183090796855,0.1,5,31,0.1,0.1
203,0.5652631369764699,0.014809272273186977,0.2,5,7,0.0,0.0
204,0.5650581921807857,0.025167892856198724,0.1,3,31,0.0,0.0
204,0.5650581921807857,0.025167892856198724,0.1,3,15,0.0,0.0
206,0.5648620674619669,0.0107489638548001,0.1,5,15,0.1,0.1
207,0.5646312982942514,0.011239480132200212,0.05,5,31,1.0,1.0
208,0.5640749300817894,0.010446640613446728,0.05,7,31,0.0,0.0
209,0.563893640012278,0.029459810503129482,0.2,7,31,1.0,0.0
210,0.5637380066917536,0.01892250261616779,0.05,5,15,0.0,0.1
211,0.5636756928646826,0.024558764301046122,0.1,3,7,0.0,0.0
212,0.5636310023117131,0.019333017946314222,0.05,7,15,0.0,0.0
213,0.5622020350394784,0.023019568130703643,0.2,5,31,0.0,0.0
214,0.5620974990534904,0.020421495729048313,0.05,5,15,0.1,0.0
215,0.561407773779892,0.021485765591584226,0.05,5,31,1.0,0.0
216,0.5607473164582802,0.019665626901796757,0.05,5,15,0.1,0.1
217,0.56043970185984,0.018089526071657168,0.05,5,15,1.0,0.0
218,0.5603928161510684,0.029447033521918523,0.2,3,7,0.1,0.1
219,0.5600788273330609,0.01525761316480117,0.05,7,15,0.0,0.1
220,0.5591719207592193,0.03360654877674038,0.2,3,31,0.1,0.1
220,0.5591719207592193,0.03360654877674038,0.2,3,15,0.1,0.1
222,0.558905640927163,0.02946759190435713,0.2,3,7,0.1,0.0
223,0.5584919596779024,0.004980325375297193,0.05,5,15,0.1,1.0
224,0.5579753022314041,0.006970564570197777,0.05,7,31,0.1,1.0
225,0.5579275205212934,0.027479868587478806,0.05,5,15,0.0,0.0
226,0.5579197318145385,0.005364141065134853,0.05,7,31,1.0,0.1
227,0.5570755779973383,0.0040687609482071676,0.05,7,31,1.0,1.0
228,0.5570746729773526,0.014108893097004527,0.05,5,31,0.0,0.1
229,0.5567539914932363,0.004162403155662666,0.05,5,15,0.0,1.0
230,0.5563920275880389,0.02540058848568601,0.1,5,31,0.0,0.1
231,0.5558459212042935,0.028469301957353886,0.2,3,15,0.0,0.1
231,0.5558459212042935,0.028469301957353886,0.2,3,31,0.0,0.1
233,0.5553709730875305,0.010188918207555854,0.2,3,7,0.0,0.1
234,0.5551297362881432,0.006043761275823746,0.05,5,31,0.1,1.0
235,0.5549671544332818,0.010325329830443193,0.05,7,31,0.1,0.0
236,0.5522071501756899,0.012975145022554525,0.05,5,31,1.0,0.1
237,0.5503521151733529,0.01357931253183359,0.05,7,31,0.1,0.1
238,0.5495231689839547,0.03071781167199838,0.1,5,31,0.0,0.0
239,0.5468912982137605,0.012162283098313822,0.05,5,31,0.0,1.0
240,0.5466518448034366,0.0059922042717045695,0.05,7,31,1.0,0.0
241,0.5410826354427207,0.012831352476336138,0.05,5,31,0.1,0.1
242,0.5402384363719895,0.023934493702573213,0.05,5,31,0.1,0.0
243,0.5358487975201811,0.016652401480085673,0.05,5,31,0.0,0.0
