number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.5156045426467913,2026-06-02 02:15:33.308498,2026-06-02 02:15:33.973581,0 days 00:00:00.665083,0.8981735476988886,0.008516341868367125,6,88,2.0830669499698056,1.3799411308331277,0.9139828967960268,COMPLETE
1,0.5556721628113875,2026-06-02 02:15:33.979119,2026-06-02 02:15:34.274299,0 days 00:00:00.295180,0.71761028078837,0.01691242515357017,5,41,3.2086799217663837,2.736575415099596,0.7739953999657299,COMPLETE
2,0.5561067922933844,2026-06-02 02:15:34.274441,2026-06-02 02:15:34.724067,0 days 00:00:00.449626,0.8894876386116864,0.026249199577314287,8,99,2.1871223577898347,2.08476673421689,0.9499958671985591,COMPLETE
3,0.5834468147277775,2026-06-02 02:15:34.724126,2026-06-02 02:15:35.057679,0 days 00:00:00.333553,0.7877476998785412,0.10341467948978325,9,20,3.642436246275906,1.3679302491219087,0.8255077251286298,COMPLETE
4,0.5825283321542428,2026-06-02 02:15:35.057796,2026-06-02 02:15:35.338167,0 days 00:00:00.280371,0.8424319606134141,0.14652651235797307,4,70,1.494136733730684,1.3391411211891602,0.7198557231466058,COMPLETE
5,0.5392428011772149,2026-06-02 02:15:35.338229,2026-06-02 02:15:35.698900,0 days 00:00:00.360671,0.7664344618085863,0.013584013865179498,9,24,2.4848372139605237,3.4527995588947764,0.724409732789235,COMPLETE
6,0.5442902022385613,2026-06-02 02:15:35.698998,2026-06-02 02:15:35.974347,0 days 00:00:00.275349,0.7274547096302325,0.011404813379431706,5,73,4.877481170896718,2.967988332752862,0.7758946176548537,COMPLETE
7,0.556745799254862,2026-06-02 02:15:35.974460,2026-06-02 02:15:36.174949,0 days 00:00:00.200489,0.798149081178235,0.015061544703553593,3,90,2.863670729536461,1.3503747358278517,0.9885555137678984,COMPLETE
8,0.5796803691247107,2026-06-02 02:15:36.175012,2026-06-02 02:15:36.374645,0 days 00:00:00.199633,0.7888888149789015,0.02304509187601778,3,114,1.3184671625090727,3.46169801015914,0.8576207073449635,COMPLETE
9,0.5323997008765106,2026-06-02 02:15:36.374701,2026-06-02 02:15:36.742266,0 days 00:00:00.367565,0.8071987919932821,0.014340326714465949,6,123,3.3834097230068076,0.43605953285043186,0.8465007416658417,COMPLETE
10,0.584153975688455,2026-06-02 02:15:36.742320,2026-06-02 02:15:37.120031,0 days 00:00:00.377711,0.9676202808040617,0.08277545110562504,8,14,4.341071830040837,4.8636222715964434,0.8517130391883749,COMPLETE
11,0.5896897225114947,2026-06-02 02:15:37.120164,2026-06-02 02:15:37.434869,0 days 00:00:00.314705,0.9729567357170464,0.0957749168554855,8,12,4.45377796954674,4.986732511908809,0.8496955802645798,COMPLETE
12,0.586098200823422,2026-06-02 02:15:37.434936,2026-06-02 02:15:37.724330,0 days 00:00:00.289394,0.9917457170535214,0.06201830215361662,8,10,4.937526154514669,4.927508045109163,0.8895050536466568,COMPLETE
13,0.5711431145908231,2026-06-02 02:15:37.724443,2026-06-02 02:15:38.211428,0 days 00:00:00.486985,0.9924953352679461,0.04856780155219305,7,46,0.11819777331637349,4.974382147597835,0.8988145661571617,COMPLETE
14,0.5745888492261192,2026-06-02 02:15:38.211491,2026-06-02 02:15:38.580843,0 days 00:00:00.369352,0.939736299716009,0.048402494320804755,8,48,4.967391931003217,4.209180135738773,0.8972440097805893,COMPLETE
15,0.597499414433852,2026-06-02 02:15:38.580900,2026-06-02 02:15:38.890071,0 days 00:00:00.309171,0.9286386973256996,0.19786971781900894,7,32,4.007425122245833,4.2978457260531115,0.8079724644955828,COMPLETE
16,0.5972312640484169,2026-06-02 02:15:38.890160,2026-06-02 02:15:39.173188,0 days 00:00:00.283028,0.9233454500283524,0.19417493711889702,7,33,4.228019148702237,4.141463696833955,0.8021180216402276,COMPLETE
17,0.5961505177136214,2026-06-02 02:15:39.173304,2026-06-02 02:15:39.496412,0 days 00:00:00.323108,0.9178856687971527,0.1839813016366476,6,35,4.112444427056023,4.113730410669645,0.7918587630898578,COMPLETE
18,0.48901565336908864,2026-06-02 02:15:39.496475,2026-06-02 02:15:39.836710,0 days 00:00:00.340235,0.8607166524253176,0.005092993770603284,7,58,3.7987411389064856,4.190844890924271,0.8055455499861965,COMPLETE
19,0.5816496535018743,2026-06-02 02:15:39.836804,2026-06-02 02:15:40.189897,0 days 00:00:00.353093,0.9373447917666491,0.173317681393653,7,29,2.945407096772726,3.4557620172444254,0.7521648204391531,COMPLETE
20,0.5849819392315116,2026-06-02 02:15:40.189960,2026-06-02 02:15:40.534633,0 days 00:00:00.344673,0.8516857004457943,0.13354992086383044,5,57,3.910745416690612,2.205554288246236,0.74991355429634,COMPLETE
21,0.5960908997592332,2026-06-02 02:15:40.534759,2026-06-02 02:15:40.825190,0 days 00:00:00.290431,0.915691978155791,0.19769661851842382,6,33,4.17678640107704,4.2981192591907735,0.8086950178172411,COMPLETE
22,0.5775550953401049,2026-06-02 02:15:40.825304,2026-06-02 02:15:41.173860,0 days 00:00:00.348556,0.9310911919390077,0.12536562923647,7,37,4.327510846062159,3.924035457516163,0.7832049833610604,COMPLETE
