rank_test_score,mean_test_score,std_test_score,param_learning_rate,param_max_depth,param_num_leaves,param_subsample,param_colsample_bytree,param_reg_alpha,param_reg_lambda
1,0.610681495509236,0.013254223763432302,0.2,7,7,0.7,0.7,0.0,5.0
2,0.5966178801624519,0.019226101415981172,0.1,7,31,0.7,0.7,5.0,1.0
3,0.596380910799558,0.02079855584257438,0.2,7,63,0.8,0.8,5.0,5.0
4,0.5931451567670762,0.003596295631659498,0.1,9,31,0.8,0.8,1.0,5.0
5,0.5891750677287857,0.009373829543097149,0.05,9,15,0.9,0.8,0.0,5.0
6,0.5886995673715051,0.01602091695933874,0.1,-1,15,1.0,1.0,5.0,0.1
7,0.5877893779396998,0.020935823326038983,0.2,5,15,1.0,0.7,0.01,0.01
8,0.5875641840797355,0.00997243432357761,0.05,9,7,1.0,0.9,0.1,0.1
9,0.5868850228913292,0.013276365695660139,0.05,7,63,0.7,0.7,5.0,5.0
10,0.5868561519038645,0.013051326880098262,0.2,7,31,0.7,0.7,5.0,0.01
11,0.5865574722360298,0.023824568638042186,0.05,5,7,0.8,1.0,0.01,0.0
12,0.5855096834451762,0.023008054542499098,0.05,5,7,0.8,1.0,0.0,0.0
13,0.5840313391860754,0.007974849697438198,0.05,3,7,0.7,0.8,1.0,0.1
14,0.5813139329587237,0.0048923580908257006,0.1,9,127,0.9,0.8,1.0,0.0
15,0.581185671071279,0.007515216069128424,0.1,5,127,0.8,0.7,0.01,1.0
16,0.5811062159786157,0.020832341570438662,0.2,-1,15,0.9,0.9,5.0,1.0
17,0.5809417867754275,0.008116151951580932,0.2,5,31,0.8,0.9,1.0,1.0
18,0.5797696566395159,0.008433129254534025,0.2,7,63,0.9,0.7,5.0,1.0
19,0.5777961427634938,0.0171796472566745,0.05,7,127,0.9,0.8,0.1,0.0
20,0.5767381584943131,0.015362203574142128,0.05,3,63,1.0,0.7,0.0,0.1
21,0.5703428151085556,0.010550477944938559,0.05,7,31,0.8,0.7,1.0,0.01
22,0.5672678753266873,0.014663688519584123,0.05,9,15,1.0,1.0,0.01,0.1
23,0.5632898914010759,0.0030786850781080403,0.05,-1,31,0.7,1.0,0.01,1.0
24,0.5575577214128861,0.008488081099174311,0.05,-1,31,0.8,0.8,1.0,0.1
25,0.5468217249438375,0.02823292639325942,0.01,3,31,1.0,0.7,0.1,0.01
26,0.5463283140584512,0.029899042898741977,0.01,7,7,0.9,1.0,5.0,0.1
27,0.5459934585739304,0.02011087505976761,0.05,5,31,0.7,0.9,0.1,0.0
28,0.5429433718118185,0.010431388979813803,0.05,5,127,1.0,0.8,0.01,0.1
29,0.5418633511734482,0.012621365749309964,0.01,9,63,0.9,0.8,0.1,0.1
30,0.5412689799759917,0.020856738715948547,0.01,7,7,0.7,0.7,0.1,5.0
31,0.5358569170812156,0.008534125460740755,0.05,5,63,1.0,1.0,0.01,0.0
32,0.5352419963229401,0.021539526681190534,0.01,5,31,1.0,0.8,5.0,1.0
33,0.5343261683042754,0.03974452253203026,0.005,7,31,1.0,0.7,1.0,0.01
34,0.5325770733148151,0.027142335724448304,0.01,7,7,1.0,0.8,0.01,0.0
35,0.5319587918897134,0.02579794800062492,0.005,-1,127,0.8,0.7,0.01,1.0
36,0.5273782725815752,0.03503093580219516,0.01,7,63,0.9,0.7,5.0,0.1
37,0.5273054840776717,0.019396448841517828,0.01,7,15,0.8,0.9,5.0,1.0
38,0.5257308826304333,0.03253949364529688,0.005,5,63,0.7,0.7,1.0,0.0
39,0.5255433632178046,0.03213934896434223,0.005,5,31,0.8,0.7,1.0,0.1
40,0.525021967775232,0.03838285007969541,0.01,9,15,0.9,1.0,0.0,0.01
41,0.5168838978154974,0.03256529338202804,0.005,3,15,0.8,0.7,5.0,0.1
42,0.5133345918405389,0.02831208273047599,0.005,-1,7,0.9,0.8,0.0,0.0
43,0.511754805761137,0.02736781686304324,0.01,7,127,0.9,1.0,0.01,1.0
44,0.5091377973924966,0.053797573701843106,0.005,9,63,1.0,0.7,5.0,5.0
45,0.5054734422751047,0.02543989941304929,0.005,9,15,0.8,0.7,5.0,0.01
46,0.4947849202921161,0.033894699571320366,0.005,3,63,1.0,1.0,0.0,5.0
47,0.49071772012266274,0.03704051779033501,0.005,9,15,0.7,1.0,5.0,0.1
48,0.47859802675708774,0.027286697780442862,0.005,-1,127,0.7,0.9,5.0,0.0
49,0.4778303982857554,0.025407068336768392,0.005,5,15,0.9,1.0,0.1,5.0
50,0.47514359872910084,0.031164453830892662,0.005,5,15,0.9,0.9,0.1,5.0
