Feature,Importance
JobRole,47
Age,40
Job_Hopping_Index,38
Total_Satisfaction_Score,32
StockOptionLevel,31
MonthlyIncome,31
YearsWithCurrManager,30
Overwork_Fatigue_Index,26
HourlyRate,25
DailyRate,23
MonthlyRate,20
RelationshipSatisfaction,20
BusinessTravel,17
OverTime_Binary,17
DistanceFromHome,16
Burnout_Risk,15
Income_Per_Level,14
EnvironmentSatisfaction,14
Income_Per_YearAtCompany,12
Stagnation_Index,12
JobInvolvement,10
JobSat_WLB_Interaction,9
PercentSalaryHike,9
Cost_Effectiveness,9
YearsInCurrentRole,8
YearsSinceLastPromotion,8
WorkLifeBalance,8
Organizational_Loyalty_Ratio,7
Role_Stagnation_Index,7
TotalWorkingYears,6
Career_Velocity_Index,6
Education,5
NumCompaniesWorked,5
Income_Per_WorkingYear,5
JobSatisfaction,4
JobLevel,4
TrainingTimesLastYear,4
Gender,4
EducationField,1
YearsAtCompany,1
PerformanceRating,0
Department,0
MaritalStatus,0
OverTime,0
