rank_test_score,mean_test_score,std_test_score,param_learning_rate,param_max_depth,param_num_leaves,param_reg_alpha,param_reg_lambda
1,0.5988053520965458,0.007745650433996848,0.2,5,7,1.0,1.0
2,0.5944674803025229,0.010587180387846933,0.2,7,7,0.0,1.0
3,0.5906302136949756,0.03970942310555554,0.2,5,7,0.1,1.0
4,0.5892423968434384,0.01899984045190194,0.2,7,7,0.1,1.0
5,0.5883620705717254,0.0250769462318143,0.1,5,7,1.0,1.0
6,0.5873746564151868,0.005280820765018721,0.2,5,15,0.1,0.1
7,0.5870132013424542,0.004037377183950068,0.1,7,15,1.0,0.1
8,0.5855143020487925,0.017273866796971637,0.2,5,7,1.0,0.0
9,0.5853958868671173,0.007380757081306129,0.1,7,7,1.0,0.1
10,0.5852864386810932,0.02338443358629109,0.1,5,7,0.1,0.1
11,0.5847942370239383,0.006145633550409143,0.2,7,31,0.1,1.0
12,0.5835356189313261,0.016192387820485214,0.1,7,7,0.1,1.0
13,0.5830391094429156,0.03090482931754016,0.1,5,7,0.0,0.0
14,0.582244162860599,0.023481751962029132,0.1,7,7,0.1,0.1
15,0.5822387840549309,0.01879249448105321,0.1,7,7,1.0,1.0
16,0.5817065463705166,0.023084810475845676,0.1,7,7,0.0,0.0
17,0.5815021966170965,0.029779663630753732,0.05,5,7,0.0,1.0
18,0.5811916451154931,0.022322689075048023,0.05,7,7,1.0,1.0
19,0.5811761135954007,0.0166087014849946,0.2,7,7,1.0,0.1
20,0.5806751715719505,0.023223597165086644,0.05,7,7,1.0,0.0
21,0.5804668255417601,0.03105242631909486,0.1,3,7,1.0,1.0
22,0.5802919500628662,0.025544329194492153,0.1,5,7,0.0,0.1
23,0.5792475296235434,0.03242399553450979,0.1,7,7,0.1,0.0
24,0.5791876046750943,0.029830584063736044,0.05,7,7,0.1,1.0
25,0.5790168148712397,0.018833493543264,0.1,7,31,0.0,1.0
26,0.5789448770719416,0.030606003144649147,0.2,3,7,1.0,1.0
27,0.5788428579320827,0.017213542663089137,0.1,5,7,0.1,1.0
28,0.5788018704479158,0.014193274096957137,0.1,7,7,1.0,0.0
29,0.5782595798688127,0.030641500238223124,0.05,7,7,0.0,1.0
30,0.5776184125547156,0.011043677246077167,0.2,7,15,1.0,0.1
31,0.5774634945335134,0.017964556414631225,0.1,5,7,1.0,0.0
32,0.5773305503771773,0.022135451603736724,0.1,5,7,0.1,0.0
33,0.5772647867775428,0.03004055620530423,0.05,5,7,1.0,1.0
34,0.5769823216245075,0.023603708503211848,0.1,7,7,0.0,0.1
35,0.5766164235404242,0.031214850915761393,0.05,7,7,1.0,0.1
36,0.5763130686996906,0.01282139667219392,0.2,5,15,1.0,1.0
37,0.5759663959427848,0.013182024572176116,0.2,7,15,0.1,0.0
38,0.5758075046414741,0.021169170904603716,0.2,5,7,0.1,0.1
39,0.5753399032034294,0.01756155217211949,0.2,7,15,0.1,0.1
40,0.575156682292857,0.02567975477677212,0.05,7,7,0.0,0.0
41,0.5749711777571059,0.013892961949390341,0.2,7,31,0.0,1.0
42,0.574559156003189,0.029856226750380455,0.05,5,7,0.0,0.0
43,0.5745005098487007,0.00404939413818356,0.1,7,15,1.0,0.0
44,0.5744371689852764,0.016507443331975204,0.2,7,7,1.0,1.0
45,0.5744119956285637,0.02627617099637131,0.05,5,7,0.1,1.0
46,0.573671573647338,0.028282346533435088,0.1,7,7,0.0,1.0
47,0.5732409951457734,0.007605999120045763,0.2,5,7,1.0,0.1
48,0.5729895089008225,0.02096662102152779,0.05,7,7,0.0,0.1
49,0.5726818831899031,0.009874266719644217,0.2,5,31,1.0,1.0
50,0.5726703132426881,0.013633972614091178,0.1,5,7,0.0,1.0
51,0.5726281499875457,0.03565890736203714,0.1,7,31,1.0,0.0
52,0.5719324830002978,0.006621494603925109,0.1,5,15,1.0,0.1
53,0.5718768518063028,0.018440937151017734,0.2,7,15,0.0,0.1
54,0.5717757745334446,0.009580186938354426,0.2,7,15,0.1,1.0
55,0.5715115165244227,0.022884885570337878,0.1,7,15,0.1,1.0
56,0.5714332688145308,0.019638355535678144,0.1,7,15,1.0,1.0
57,0.571284281522678,0.01844076034545859,0.05,7,7,0.1,0.0
58,0.5712322390014632,0.005970016558754269,0.2,7,31,0.1,0.0
59,0.5712195270037453,0.006303418698926252,0.1,7,15,0.0,0.1
60,0.5711446315285251,0.024106389873444174,0.05,5,7,0.1,0.1
61,0.5709691732443404,0.0031550374366491147,0.2,5,31,1.0,0.1
62,0.5706232860186381,0.008635510491971872,0.2,7,15,1.0,1.0
63,0.5704680900189364,0.018119354713379963,0.2,3,15,1.0,1.0
63,0.5704680900189364,0.018119354713379963,0.2,3,31,1.0,1.0
65,0.5699577645180718,0.01237359915245393,0.1,7,15,0.0,0.0
66,0.5699296054143673,0.0012170322287394955,0.2,7,15,0.0,1.0
67,0.5697419665383939,0.03202917353485013,0.05,5,7,0.1,0.0
68,0.5696573807244497,0.028881117907333508,0.05,5,7,1.0,0.0
69,0.5693993074780036,0.03018214842682894,0.05,5,7,1.0,0.1
70,0.5693073661799982,0.013288130707235939,0.2,7,15,1.0,0.0
71,0.5693014395480683,0.007422410396605478,0.2,3,7,0.0,1.0
72,0.5692539124852316,0.010639939098033579,0.2,5,7,0.0,1.0
73,0.5692082758289593,0.02618441814775101,0.2,3,31,1.0,0.0
73,0.5692082758289593,0.02618441814775101,0.2,3,15,1.0,0.0
75,0.5691950948802187,0.01773086080555374,0.05,7,7,0.1,0.1
76,0.5691560930487004,0.03598333455607185,0.2,7,7,0.1,0.1
77,0.5687588833736047,0.02420040319476131,0.2,5,15,1.0,0.0
78,0.5683882377151908,0.01319298478450046,0.2,7,7,1.0,0.0
79,0.5680223655311235,0.02149060148450197,0.05,5,7,0.0,0.1
80,0.5675410810919566,0.020835789675964174,0.1,5,31,1.0,1.0
81,0.5673833309858302,0.024159467615966167,0.05,7,15,1.0,0.1
82,0.5671557676926421,0.018776561947238722,0.05,7,15,0.0,0.1
83,0.5669982187470519,0.03224727962737509,0.2,3,7,0.1,1.0
84,0.566692967168717,0.007685712452793245,0.2,5,7,0.1,0.0
85,0.5663957646466499,0.014520478646681427,0.2,7,7,0.0,0.0
86,0.5663471634244369,0.02944681413193476,0.2,5,15,0.1,0.0
87,0.5662831381286563,0.024416363355571777,0.1,3,31,1.0,1.0
87,0.5662831381286563,0.024416363355571777,0.1,3,15,1.0,1.0
89,0.5658158857078521,0.013078462870652922,0.2,5,15,0.1,1.0
90,0.5656641541933985,0.016769250503146593,0.2,7,31,1.0,1.0
91,0.565521994819711,0.03437523012803155,0.05,3,7,1.0,0.0
92,0.5651103058653633,0.0057691792623393474,0.2,3,15,1.0,0.1
92,0.5651103058653633,0.0057691792623393474,0.2,3,31,1.0,0.1
94,0.5648251700533583,0.009970052932505625,0.05,7,15,0.1,0.1
95,0.5646163417353299,0.014485355082395394,0.2,5,15,1.0,0.1
96,0.5639541892264629,0.02533311061383227,0.1,3,7,1.0,0.0
97,0.5639132936295485,0.008672412146620257,0.1,5,15,0.1,0.1
98,0.5638455355154627,0.0016161186655181605,0.1,7,15,0.0,1.0
99,0.5637763773699304,0.022145770161091965,0.2,5,7,0.0,0.0
100,0.5636518780712891,0.006856693702601488,0.1,5,15,1.0,0.0
101,0.5632742715682415,0.04044438808126751,0.1,3,7,0.1,1.0
102,0.5631179849049703,0.024414123172187996,0.1,5,31,0.1,0.0
103,0.5627551281330391,0.02856783510191829,0.1,7,31,1.0,0.1
104,0.5627361897088313,0.04112021578097122,0.2,7,7,0.0,0.1
105,0.562241830828915,0.01164374696100068,0.1,5,7,1.0,0.1
106,0.5621250330005972,0.028615717435890052,0.1,3,15,0.0,0.1
106,0.5621250330005972,0.028615717435890052,0.1,3,31,0.0,0.1
108,0.5616085644612224,0.01616573402026693,0.1,5,15,0.1,1.0
109,0.5611481097952628,0.02245688732972982,0.2,5,7,0.0,0.1
110,0.5606354598265563,0.01567365580812105,0.1,5,15,0.1,0.0
111,0.5605607138735166,0.0009514630429454616,0.2,5,31,0.1,0.0
112,0.560345451011044,0.028670231895154073,0.1,7,31,0.0,0.0
113,0.5600590769151532,0.03031438260524334,0.1,3,7,0.0,1.0
114,0.559969432471759,0.02114743932292042,0.1,5,31,0.1,1.0
115,0.5596980654415667,0.01870065395413194,0.2,5,31,0.0,1.0
116,0.5595217994626794,0.01983846016824957,0.05,7,15,0.0,0.0
117,0.5595029067004513,0.006330230988149999,0.1,7,15,0.1,0.0
118,0.5594121180812118,0.017062422306869753,0.1,3,15,1.0,0.0
118,0.5594121180812118,0.017062422306869753,0.1,3,31,1.0,0.0
120,0.5593620087612345,0.026160866570599482,0.2,7,31,0.0,0.1
121,0.5593481114289098,0.0017235814565101319,0.1,5,15,1.0,1.0
122,0.558827153717353,0.014381155527936515,0.2,5,15,0.0,1.0
123,0.5586622875856154,0.014717346016275034,0.1,3,15,1.0,0.1
123,0.5586622875856154,0.014717346016275034,0.1,3,31,1.0,0.1
125,0.5582384381528721,0.016653609128038212,0.1,7,31,0.0,0.1
126,0.5581897543214003,0.017223505561674336,0.1,7,15,0.1,0.1
127,0.5581220696587547,0.012643060441752056,0.2,5,31,0.1,0.1
128,0.5580434847993561,0.018794624576851954,0.2,7,31,0.1,0.1
129,0.5578836659354559,0.021442824395642112,0.2,3,7,1.0,0.1
130,0.5576846482070444,0.008604621015531406,0.2,5,31,0.0,0.0
131,0.5576484032463167,0.013028724310847197,0.1,5,15,0.0,0.0
132,0.5575947379278859,0.03355883801573127,0.05,3,7,0.1,1.0
133,0.5574289535146465,0.029965193811787416,0.05,3,7,0.1,0.1
134,0.5573692304297316,0.014494661278539525,0.05,7,15,1.0,0.0
135,0.5573235748691362,0.012299958801251494,0.2,3,7,1.0,0.0
136,0.556823000722645,0.02686808197586833,0.2,5,15,0.0,0.0
137,0.5567369419374537,0.026260220342485572,0.1,3,7,1.0,0.1
138,0.556733245343957,0.028602923338738304,0.05,3,7,0.0,1.0
139,0.556698348515972,0.035831638051209216,0.05,3,7,1.0,0.1
140,0.5565313066313076,0.021968891336116236,0.1,3,15,0.1,1.0
140,0.5565313066313076,0.021968891336116236,0.1,3,31,0.1,1.0
142,0.5565301911249647,0.029550699156013792,0.05,7,15,0.1,1.0
143,0.5563222930367128,0.03603289740810121,0.1,3,7,0.1,0.1
144,0.5562410870391451,0.0283055841607336,0.05,3,31,0.1,1.0
144,0.5562410870391451,0.0283055841607336,0.05,3,15,0.1,1.0
146,0.5561156507805937,0.015500183300643932,0.2,7,31,1.0,0.0
147,0.5560381909957424,0.028190684560554513,0.05,7,31,1.0,0.1
148,0.5560286305331864,0.011147102886725305,0.2,5,31,0.0,0.1
149,0.5559020213086688,0.023934659586486,0.2,7,7,0.1,0.0
150,0.5558232415874489,0.024959274617189164,0.2,7,15,0.0,0.0
151,0.5557058588907565,0.02337000329341509,0.1,5,31,0.0,1.0
152,0.5552493406016566,0.02793715730176653,0.1,7,31,1.0,1.0
153,0.5550195240872058,0.03499780617688191,0.05,3,7,1.0,1.0
154,0.5549946945808197,0.02562411569562553,0.05,3,31,0.0,0.0
154,0.5549946945808197,0.02562411569562553,0.05,3,15,0.0,0.0
156,0.5547364078991873,0.027854673867399916,0.2,3,7,0.1,0.0
157,0.5547190420830648,0.021774418183737432,0.1,7,31,0.1,1.0
158,0.5544090721019663,0.019182867849312477,0.05,7,15,0.1,0.0
159,0.5543008201845959,0.017492940997212783,0.1,5,31,1.0,0.1
160,0.5542266190443246,0.024668834697345002,0.05,5,15,0.0,1.0
161,0.5541970648904336,0.025447201300124827,0.05,7,15,1.0,1.0
162,0.5541792860071751,0.03923416337090071,0.05,7,15,0.0,1.0
163,0.553859659937594,0.041251642034269974,0.05,5,15,1.0,0.1
164,0.5535657940727524,0.013722754904003818,0.2,5,15,0.0,0.1
165,0.5532638759589878,0.03331690613345626,0.05,3,31,1.0,0.1
165,0.5532638759589878,0.03331690613345626,0.05,3,15,1.0,0.1
167,0.5532560410047196,0.029009841109191456,0.05,3,15,1.0,0.0
167,0.5532560410047196,0.029009841109191456,0.05,3,31,1.0,0.0
169,0.5531353166200015,0.026052919860578054,0.2,3,7,0.0,0.0
170,0.5530618163665197,0.02907841906934829,0.05,3,7,0.0,0.1
171,0.5528623752401113,0.01313783227795298,0.2,3,15,0.1,1.0
171,0.5528623752401113,0.01313783227795298,0.2,3,31,0.1,1.0
173,0.5526161449161816,0.026764519922185093,0.1,3,31,0.0,1.0
173,0.5526161449161816,0.026764519922185093,0.1,3,15,0.0,1.0
175,0.5524143242005449,0.032172357542628725,0.05,3,31,1.0,1.0
175,0.5524143242005449,0.032172357542628725,0.05,3,15,1.0,1.0
177,0.5521254907162658,0.03367203946410701,0.2,3,31,0.1,0.1
177,0.5521254907162658,0.03367203946410701,0.2,3,15,0.1,0.1
179,0.5516006403430924,0.017533809624345087,0.1,5,15,0.0,1.0
180,0.5514321615149469,0.017178750233771762,0.1,7,31,0.1,0.0
181,0.5513766548894617,0.038397199047963924,0.1,3,7,0.0,0.0
182,0.5513708537868683,0.025973203847011413,0.05,3,7,0.1,0.0
183,0.5513207603358403,0.00582036331950914,0.2,5,31,1.0,0.0
184,0.5507788118030205,0.030730460456212774,0.05,5,15,0.1,1.0
185,0.550626141556115,0.017213592280534065,0.1,5,31,1.0,0.0
186,0.5504783787976341,0.024360402468103164,0.05,3,7,0.0,0.0
187,0.550271844263778,0.027841480106134478,0.05,5,15,1.0,0.0
188,0.5499444457576123,0.032945814289370615,0.1,3,15,0.1,0.1
188,0.5499444457576123,0.032945814289370615,0.1,3,31,0.1,0.1
190,0.549687283269269,0.03326559114077367,0.05,5,31,0.1,0.0
191,0.5490034696664318,0.028502123618555704,0.1,3,15,0.1,0.0
191,0.5490034696664318,0.028502123618555704,0.1,3,31,0.1,0.0
193,0.5487567892740381,0.029211892081653378,0.05,3,15,0.1,0.0
193,0.5487567892740381,0.029211892081653378,0.05,3,31,0.1,0.0
195,0.5484809718252507,0.038027558576959324,0.1,3,7,0.1,0.0
196,0.5481877045401418,0.025009785379053486,0.05,3,15,0.0,1.0
196,0.5481877045401418,0.025009785379053486,0.05,3,31,0.0,1.0
198,0.5480522721776281,0.024246616085332694,0.05,3,31,0.0,0.1
198,0.5480522721776281,0.024246616085332694,0.05,3,15,0.0,0.1
200,0.5476977887072995,0.018997049421463925,0.1,5,31,0.0,0.0
201,0.5475840692912501,0.02761240672624295,0.05,3,31,0.1,0.1
201,0.5475840692912501,0.02761240672624295,0.05,3,15,0.1,0.1
203,0.5475386214245069,0.025529701886650016,0.2,3,15,0.0,0.1
203,0.5475386214245069,0.025529701886650016,0.2,3,31,0.0,0.1
205,0.5474757428421292,0.02312854008586209,0.05,5,15,1.0,1.0
206,0.5470810016325415,0.01867368098782165,0.2,7,31,0.0,0.0
207,0.5470737998890932,0.025124429072216653,0.2,3,7,0.0,0.1
208,0.5462387709736859,0.026444817058641552,0.05,5,15,0.1,0.1
209,0.5458842267986502,0.03155482155211199,0.05,5,31,0.1,0.1
210,0.5457656934826961,0.031031226936758558,0.1,3,7,0.0,0.1
211,0.5453325293386045,0.026579624542676282,0.05,5,31,1.0,0.1
212,0.5452935187770938,0.01802787979809602,0.2,7,31,1.0,0.1
213,0.5447386284172263,0.015835195499606464,0.2,3,15,0.0,1.0
213,0.5447386284172263,0.015835195499606464,0.2,3,31,0.0,1.0
215,0.5443548515565723,0.026514306895777877,0.05,7,31,1.0,0.0
216,0.5442825943573794,0.017590932422369903,0.2,5,31,0.1,1.0
217,0.5439367238249827,0.022910645550142907,0.05,7,31,0.0,0.1
218,0.5436173004355429,0.02634292085338286,0.1,7,31,0.1,0.1
219,0.5435080287566741,0.024573853155705885,0.1,5,31,0.1,0.1
220,0.5425475328205739,0.037132846409678844,0.05,7,31,1.0,1.0
221,0.5417050011698177,0.016726219035228116,0.1,5,15,0.0,0.1
222,0.5410965080791447,0.02958101066368889,0.2,3,15,0.1,0.0
222,0.5410965080791447,0.02958101066368889,0.2,3,31,0.1,0.0
224,0.5410364923034531,0.0254930368431986,0.05,5,15,0.0,0.0
225,0.5407521098548874,0.022747980672803116,0.05,7,31,0.0,0.0
226,0.5407441370570828,0.030229160107908413,0.05,7,31,0.1,1.0
227,0.5405542023764441,0.03852853543119915,0.05,5,31,1.0,1.0
228,0.5402520601159607,0.02241161611098777,0.05,7,31,0.0,1.0
229,0.539902312647241,0.007116832090881531,0.2,3,7,0.1,0.1
230,0.5397684451816686,0.019363681645883125,0.05,7,31,0.1,0.0
231,0.5389365129662468,0.024340351864386885,0.2,3,31,0.0,0.0
231,0.5389365129662468,0.024340351864386885,0.2,3,15,0.0,0.0
233,0.5382168649439887,0.02454090243352165,0.05,5,31,1.0,0.0
234,0.5379126326267468,0.030224608097564658,0.05,5,31,0.0,0.1
235,0.5373151239568252,0.037420140110462255,0.05,7,31,0.1,0.1
236,0.536317685786841,0.020340920103253793,0.05,5,31,0.0,1.0
237,0.5362152138422385,0.02765855199411534,0.1,5,31,0.0,0.1
238,0.536170537534721,0.03737858769937315,0.1,3,15,0.0,0.0
238,0.536170537534721,0.03737858769937315,0.1,3,31,0.0,0.0
240,0.5353268223051892,0.031099821780614663,0.05,5,31,0.1,1.0
241,0.5329188423225212,0.03673387375656963,0.05,5,31,0.0,0.0
242,0.5314289846939212,0.02959753688099524,0.05,5,15,0.0,0.1
243,0.5287494991903848,0.02025745599392237,0.05,5,15,0.1,0.0
