rank_test_score,mean_test_score,std_test_score,param_learning_rate,param_max_depth,param_num_leaves,param_subsample,param_colsample_bytree,param_reg_alpha,param_reg_lambda
1,0.616213076029558,0.02496117394841411,0.2,7,7,0.7,0.7,0.0,5.0
2,0.5893332696063848,0.025500772298917538,0.1,7,31,0.7,0.7,5.0,1.0
3,0.5861676615668315,0.007378363652416425,0.2,-1,15,0.9,0.9,5.0,1.0
4,0.5853064404780138,0.03218959526799339,0.05,9,7,1.0,0.9,0.1,0.1
5,0.5830230242298206,0.012324860130842104,0.1,9,127,0.9,0.8,1.0,0.0
6,0.581237816609796,0.015311208876803697,0.05,7,31,0.8,0.7,1.0,0.01
7,0.5797004261168016,0.025201214955839803,0.05,7,63,0.7,0.7,5.0,5.0
8,0.5775611368398813,0.017219375386026452,0.1,-1,15,1.0,1.0,5.0,0.1
9,0.5774153018995737,0.031583346465136636,0.2,5,15,1.0,0.7,0.01,0.01
10,0.5769089008684586,0.022401989283784333,0.2,7,63,0.9,0.7,5.0,1.0
11,0.5758484512957552,0.01983339612444535,0.2,7,31,0.7,0.7,5.0,0.01
12,0.5750356562267435,0.017037114233701522,0.05,9,15,0.9,0.8,0.0,5.0
13,0.574559156003189,0.029856226750380455,0.05,5,7,0.8,1.0,0.0,0.0
14,0.5736431939622052,0.005531728433896914,0.2,7,63,0.8,0.8,5.0,5.0
15,0.5711605188262893,0.022731412129776172,0.05,5,7,0.8,1.0,0.01,0.0
16,0.569664784836798,0.018721113192477292,0.1,9,31,0.8,0.8,1.0,5.0
17,0.569120204446863,0.023166929681546086,0.1,5,127,0.8,0.7,0.01,1.0
18,0.568146976818456,0.030691951457125357,0.05,3,7,0.7,0.8,1.0,0.1
19,0.5622234585125647,0.011444603318596314,0.2,5,31,0.8,0.9,1.0,1.0
20,0.5610269221644124,0.030225485484725426,0.05,-1,31,0.8,0.8,1.0,0.1
21,0.5573367605446081,0.020351482868969324,0.05,9,15,1.0,1.0,0.01,0.1
22,0.556430510954314,0.03052854148533677,0.05,3,63,1.0,0.7,0.0,0.1
23,0.555083310477625,0.03342996922229438,0.05,5,31,0.7,0.9,0.1,0.0
24,0.5543221123965868,0.02271643016051172,0.05,7,127,0.9,0.8,0.1,0.0
25,0.5494253367818133,0.030321267681634997,0.05,5,127,1.0,0.8,0.01,0.1
26,0.5451596414452143,0.0268409971800268,0.05,-1,31,0.7,1.0,0.01,1.0
27,0.537174975517693,0.022705275008692054,0.01,7,63,0.9,0.7,5.0,0.1
28,0.5350849917863076,0.021719986771321788,0.01,5,31,1.0,0.8,5.0,1.0
29,0.5325011177410875,0.029973571814652357,0.05,5,63,1.0,1.0,0.01,0.0
30,0.5276066753756294,0.029254933810295123,0.01,3,31,1.0,0.7,0.1,0.01
31,0.5269734439997601,0.01803343544059254,0.01,7,7,0.9,1.0,5.0,0.1
32,0.5251788581709668,0.01379170044555461,0.005,3,15,0.8,0.7,5.0,0.1
33,0.5241642418646221,0.01463949722159887,0.01,7,15,0.8,0.9,5.0,1.0
34,0.5237504887202095,0.030261451228527622,0.01,7,7,1.0,0.8,0.01,0.0
35,0.5229089272702719,0.026828313262648472,0.01,9,63,0.9,0.8,0.1,0.1
36,0.5207584900187376,0.021480855337267086,0.005,9,15,0.8,0.7,5.0,0.01
37,0.5196783758237816,0.022794428555201383,0.01,7,7,0.7,0.7,0.1,5.0
38,0.5166141939539581,0.020968349824272665,0.005,5,63,0.7,0.7,1.0,0.0
39,0.516404362942648,0.017800426318633766,0.005,-1,127,0.8,0.7,0.01,1.0
40,0.5153109572278591,0.02001587196717537,0.005,5,31,0.8,0.7,1.0,0.1
41,0.5120198993522714,0.016682722149086796,0.005,7,31,1.0,0.7,1.0,0.01
42,0.5086985907252599,0.030116377335971084,0.005,-1,7,0.9,0.8,0.0,0.0
43,0.5041186200433795,0.018604627193079887,0.005,9,63,1.0,0.7,5.0,5.0
44,0.5040052173199029,0.011785101747457373,0.005,-1,127,0.7,0.9,5.0,0.0
45,0.500905280516372,0.025439605632924505,0.01,9,15,0.9,1.0,0.0,0.01
46,0.49369096438276605,0.026134542328980236,0.01,7,127,0.9,1.0,0.01,1.0
47,0.49030646328476735,0.03331937683338258,0.005,3,63,1.0,1.0,0.0,5.0
48,0.4895726017203034,0.007874161795266,0.005,9,15,0.7,1.0,5.0,0.1
49,0.4824915434467754,0.03041033897966636,0.005,5,15,0.9,0.9,0.1,5.0
50,0.47556466294311406,0.029593792038765727,0.005,5,15,0.9,1.0,0.1,5.0
